companyName,industry,revenue,debtToEquity,yearsInBusiness,paymentHistory,outstandingDebt,creditUtilization,latePayments,collateralValue,annualGrowth,creditScore,riskLevel,loanEligibility
Company 495,healthcare,115298.92,2.046,16,52.39,48321.99,75.82,3,101587.55,16.52,487,high,denied
Company 496,manufacturing,39023.93,0.15,35,81.93,58213.98,36.09,5,53323.33,21.74,633,moderate,review
Company 497,retail,43367.69,0.637,42,37.45,82592.85,49.6,4,33950.99,-8.78,556,moderate,review
Company 498,manufacturing,92309.72,1.822,14,39.66,139575.48,65.65,1,147867.84,-8.12,491,low,denied
Company 499,retail,30882.12,0.05,32,59.21,49132.18,79.0,2,83944.21,0.22,598,moderate,review
Company 500,manufacturing,43112.7,0.214,11,33.87,61709.53,32.11,0,73392.29,17.32,618,moderate,approved
Company 501,healthcare,64323.11,1.08,18,96.34,33898.35,23.83,2,105514.5,-26.54,589,moderate,review
Company 502,services,132820.11,0.133,15,93.13,104355.55,93.06,2,135916.0,6.92,601,moderate,review
Company 503,services,36913.08,0.805,33,33.43,70268.0,33.81,2,47084.22,18.98,602,low,review
Company 504,manufacturing,13712.9,1.789,43,88.68,18598.81,65.4,1,38965.2,18.36,671,moderate,review
Company 505,manufacturing,12922.46,0.886,13,65.62,20664.91,66.01,1,16249.84,15.63,585,high,denied
Company 506,healthcare,21861.22,1.962,15,79.14,42422.13,51.26,1,50903.12,20.95,614,moderate,review
Company 507,retail,20941.03,0.362,41,92.09,11302.51,25.56,1,12676.74,-36.21,656,high,denied
Company 508,services,52908.08,1.272,23,70.39,37628.48,17.73,2,43426.16,29.2,663,moderate,review
Company 509,manufacturing,23130.23,1.886,26,38.14,30650.41,48.83,2,29576.51,9.96,552,moderate,review
Company 510,technology,34125.36,0.321,35,30.18,4991.83,50.98,5,93965.95,25.02,546,high,denied
Company 511,technology,32232.52,1.88,7,64.78,38205.73,74.6,2,33787.07,-12.62,515,high,denied
Company 512,services,42091.19,0.101,43,96.45,68882.56,68.89,3,97519.46,-21.31,622,moderate,review
Company 513,technology,172474.29,0.855,18,70.08,217290.43,87.08,2,158471.3,31.8,608,moderate,review
Company 514,retail,101677.17,0.169,33,56.11,67233.75,92.38,1,206618.7,-8.9,589,moderate,review
Company 515,retail,60651.74,1.219,22,32.16,89509.7,70.51,4,119306.24,0.34,532,high,denied
Company 516,technology,41405.91,0.776,37,94.05,15629.08,11.89,1,85083.76,12.91,711,low,approved
Company 517,retail,42336.88,1.12,30,52.9,76209.33,41.46,1,51468.58,16.59,615,moderate,review
Company 518,healthcare,77823.38,1.689,9,79.33,22704.08,59.79,1,70450.2,21.18,589,moderate,review
Company 519,technology,95543.34,0.689,10,78.6,166305.91,58.12,2,259516.2,8.35,578,low,review
Company 520,services,28966.81,0.262,43,47.77,30294.59,21.33,2,55720.84,-10.81,610,moderate,review
Company 521,services,61647.29,1.935,26,34.46,56372.09,57.47,1,63503.37,15.6,563,moderate,review
Company 522,retail,11786.43,2.76,14,56.95,12390.57,36.47,2,18072.4,15.84,562,moderate,review
Company 523,technology,70924.49,1.964,8,52.2,34071.55,35.5,2,47358.32,-22.23,512,high,denied
Company 524,manufacturing,110163.33,0.146,7,79.02,106814.65,80.06,2,186004.21,26.28,606,moderate,review
Company 525,technology,47855.68,1.572,46,87.38,82047.02,42.97,2,74641.79,-32.31,597,moderate,review
Company 526,retail,256073.96,1.028,48,45.57,415304.58,52.47,3,213006.31,20.52,583,high,denied
Company 527,services,29584.6,0.554,20,66.98,12123.54,55.66,1,47658.74,-4.51,590,moderate,review
Company 528,services,71250.16,0.126,10,32.84,98289.58,55.67,3,149542.03,15.58,514,high,denied
Company 529,healthcare,58182.52,1.192,21,45.0,100538.86,24.18,3,164146.04,12.65,597,moderate,review
Company 530,retail,55257.64,1.081,7,83.32,91592.76,58.95,4,124769.7,4.44,593,moderate,review
Company 531,healthcare,54641.13,0.271,27,85.54,49652.49,35.12,3,95954.65,11.77,614,moderate,review
Company 532,healthcare,65230.6,0.486,31,84.35,12483.6,63.95,1,158192.55,3.7,654,high,denied
Company 533,retail,117991.4,0.176,49,39.97,220552.1,18.11,5,141570.59,15.71,613,moderate,review
Company 534,manufacturing,180266.03,2.659,16,68.57,153619.42,94.47,2,391529.53,37.78,554,moderate,review
Company 535,technology,59766.45,0.656,10,59.59,46967.8,74.48,1,30639.6,-15.12,533,high,denied
Company 536,technology,114950.04,0.938,7,99.4,177376.92,42.55,2,78324.41,-42.82,591,moderate,denied
Company 537,manufacturing,34152.34,0.845,19,75.78,20544.25,32.12,1,70376.5,-1.24,637,high,denied
Company 538,technology,110499.29,1.553,30,95.46,186304.13,39.9,1,108441.12,-2.26,670,moderate,review
Company 539,technology,32545.9,1.053,4,40.17,7957.41,69.91,2,72311.27,-0.66,488,high,denied
Company 540,services,143275.98,0.298,38,61.56,215967.23,63.99,1,299716.6,-8.9,587,moderate,review
Company 541,services,350989.89,0.625,23,84.01,679165.45,68.19,3,231360.91,18.09,625,moderate,review
Company 542,manufacturing,54302.9,0.371,39,55.75,108169.24,85.01,4,80435.72,-15.72,516,high,denied
Company 543,services,10362.67,0.583,23,74.28,19225.12,46.07,4,21062.18,11.76,619,moderate,review
Company 544,services,38620.62,1.094,8,65.82,67757.89,65.26,5,88198.07,14.58,481,high,denied
Company 545,technology,160411.89,0.658,2,99.44,101039.03,44.74,1,407479.95,9.75,637,moderate,review
Company 546,retail,93196.13,0.92,28,42.17,180486.59,62.43,2,123588.06,12.31,554,moderate,review
Company 547,retail,73066.91,0.184,27,95.47,136123.91,47.73,2,189374.1,19.24,677,moderate,review
Company 548,technology,134179.63,0.688,40,58.11,149651.58,74.9,3,185924.13,5.8,587,moderate,review
Company 549,healthcare,88217.69,1.152,43,62.76,76215.45,5.47,1,45649.75,-0.2,668,moderate,review
Company 550,retail,158606.27,1.022,8,67.0,48788.52,24.41,3,321180.05,12.3,599,moderate,review
Company 551,manufacturing,124933.76,0.514,16,48.58,152694.63,31.68,0,137948.29,14.01,640,moderate,review
Company 552,technology,202270.33,0.232,11,97.46,289456.39,90.09,4,164031.78,18.35,593,moderate,denied
Company 553,technology,79780.7,2.916,6,93.8,69217.22,50.63,0,91420.26,-20.69,603,moderate,review
Company 554,services,123526.07,0.929,1,98.1,107647.56,37.79,3,317435.45,2.25,630,high,denied
Company 555,technology,46830.89,0.679,5,99.78,55695.59,41.39,2,130424.19,-10.98,607,moderate,review
Company 556,technology,37005.85,0.17,26,76.89,5654.12,45.66,3,107473.93,13.41,631,moderate,review
Company 557,retail,234547.67,1.325,8,61.62,450318.67,83.1,3,294844.22,15.9,522,high,denied
Company 558,manufacturing,71179.76,0.861,10,89.55,46325.27,91.61,2,116722.11,0.88,582,moderate,review
Company 559,manufacturing,113994.38,0.261,6,31.67,41914.9,80.97,0,285705.86,-5.94,508,high,denied
Company 560,manufacturing,66104.49,0.05,36,88.41,7299.78,80.75,0,85589.24,13.95,671,moderate,review
Company 561,technology,37450.95,0.734,32,64.81,64718.77,22.91,2,54785.43,3.0,588,moderate,review
Company 562,technology,60402.53,0.198,48,77.13,105106.09,29.18,0,66031.22,26.4,733,low,approved
Company 563,services,188866.41,0.509,6,56.18,53087.05,58.64,1,364685.61,31.59,627,moderate,review
Company 564,manufacturing,93357.55,1.158,11,55.8,36340.22,64.05,1,200547.59,20.01,575,moderate,review
Company 565,manufacturing,15226.94,1.133,23,32.22,14481.04,23.24,1,19735.62,8.49,579,moderate,review
Company 566,healthcare,50402.92,0.08,32,59.67,22824.35,72.17,3,28254.68,32.38,627,moderate,review
Company 567,healthcare,249156.14,0.407,7,58.58,373250.88,23.0,2,582967.94,8.61,580,moderate,review
Company 568,technology,50461.33,2.182,11,45.74,10610.78,28.67,1,103016.46,-2.19,540,high,denied
Company 569,retail,14180.41,0.298,21,47.31,16228.74,32.61,2,14853.94,-5.13,600,low,review
Company 570,manufacturing,272239.95,0.45,1,70.89,225225.19,81.14,1,350269.14,-5.55,566,moderate,review
Company 571,retail,103353.87,0.523,20,52.24,101638.02,70.89,0,298980.42,4.9,614,moderate,review
Company 572,services,56612.76,0.05,38,88.12,51349.96,52.76,1,117500.29,11.95,720,low,approved
Company 573,manufacturing,44483.15,1.274,26,37.8,17393.02,78.78,2,88463.4,-16.23,514,high,denied
Company 574,healthcare,142326.86,0.064,22,70.44,73801.43,78.16,5,298776.37,-1.73,533,high,denied
Company 575,services,38809.23,0.309,24,41.2,8659.68,40.08,1,112007.75,8.19,595,moderate,review
Company 576,manufacturing,150032.19,0.237,47,66.98,47866.66,75.33,1,202490.6,14.65,696,moderate,review
Company 577,services,92388.36,0.84,26,68.68,180896.42,23.56,1,111077.59,4.61,648,moderate,review
Company 578,manufacturing,72819.97,0.426,27,74.96,45992.73,50.29,0,104995.93,8.67,666,moderate,review
Company 579,services,67266.11,1.199,46,59.92,45966.2,15.64,5,168324.88,-13.58,557,moderate,review
Company 580,retail,52053.41,1.465,8,65.66,17776.34,43.41,2,41767.51,-8.68,546,high,denied
Company 581,manufacturing,138207.59,0.154,5,42.67,212122.66,51.83,3,140565.65,4.09,550,moderate,review
Company 582,manufacturing,29963.21,0.205,23,62.41,55607.87,12.19,0,32079.03,12.66,678,moderate,review
Company 583,technology,16357.8,0.913,16,56.11,26181.08,46.64,0,34203.23,8.47,597,moderate,review
Company 584,retail,97885.34,1.577,10,76.63,123724.14,63.65,3,205946.61,-7.73,529,high,denied
Company 585,services,99209.66,3.049,6,60.44,163214.03,60.27,1,141841.63,1.45,535,high,denied
Company 586,manufacturing,87920.91,0.235,44,84.55,76318.64,9.89,2,104668.14,27.68,745,moderate,review
Company 587,technology,82965.71,1.8,31,59.82,143783.31,13.58,2,198008.44,13.16,626,moderate,review
Company 588,retail,46331.05,0.145,34,46.5,74925.92,36.62,2,26840.34,2.56,619,moderate,review
Company 589,technology,112418.77,0.511,6,49.16,11610.25,80.84,0,263829.34,-10.39,519,high,denied
Company 590,technology,57731.23,1.613,17,33.17,59278.93,83.28,2,59214.05,-5.7,486,high,denied
Company 591,services,40550.73,0.26,31,67.79,24442.83,32.87,4,111796.05,5.1,632,moderate,review
Company 592,retail,46652.74,0.17,26,88.16,12308.98,69.7,1,71576.18,9.14,651,moderate,review
Company 593,retail,301495.92,0.05,35,83.84,514886.43,56.97,3,634872.7,13.48,672,moderate,review
Company 594,manufacturing,14943.31,0.918,33,60.65,1720.04,93.51,1,11990.86,10.82,601,moderate,review
Company 595,technology,89306.58,0.827,21,43.73,132826.63,13.52,2,101337.16,-0.55,601,moderate,review
Company 596,retail,15626.32,3.677,39,90.44,30902.05,54.31,1,35182.98,-2.67,591,high,denied
Company 597,healthcare,54907.94,0.655,13,33.97,55777.55,58.33,1,103001.19,35.7,602,moderate,review
Company 598,manufacturing,42323.51,0.197,4,57.95,34085.54,32.69,2,102685.02,-3.35,548,moderate,review
Company 599,services,11293.44,0.456,45,89.96,14129.03,9.23,2,21553.6,-14.38,687,high,approved
Company 600,manufacturing,81734.39,0.062,2,57.52,133139.26,9.69,2,157202.03,-19.58,590,moderate,denied
Company 601,manufacturing,44177.44,1.076,14,38.25,24583.81,45.83,3,116877.93,-0.3,525,high,denied
Company 602,healthcare,11166.07,1.278,6,48.62,6435.37,67.32,2,17438.33,19.1,560,moderate,review
Company 603,services,117202.03,0.245,12,72.0,146928.94,68.02,2,320853.66,-3.64,577,moderate,review
Company 604,healthcare,188717.21,0.297,20,40.64,355877.57,21.29,2,269967.17,27.16,608,moderate,review
Company 605,services,197224.8,0.077,7,75.85,131556.03,82.22,1,260629.72,4.89,564,moderate,review
Company 606,healthcare,79790.93,0.079,23,60.67,65096.14,38.94,0,195372.34,21.64,662,moderate,review
Company 607,services,62121.44,0.552,46,53.41,123456.01,91.79,4,32853.92,-6.37,554,moderate,review
Company 608,technology,173255.96,0.744,7,46.86,75335.52,15.63,6,161211.25,-6.13,517,high,denied
Company 609,healthcare,230016.63,0.05,46,87.63,56639.18,80.28,4,156276.6,6.37,604,moderate,review
Company 610,retail,148279.6,1.079,21,57.77,180980.44,86.75,0,263976.65,12.24,609,moderate,review
Company 611,manufacturing,28191.33,0.337,30,81.69,4118.96,79.04,6,58361.07,2.32,539,high,denied
Company 612,healthcare,70338.59,0.82,22,60.82,31147.56,77.8,3,36993.87,9.39,555,moderate,review
Company 613,services,85102.6,0.768,16,36.43,109118.34,37.52,1,76903.72,13.83,569,moderate,review
Company 614,services,14077.13,1.541,6,60.84,19047.39,69.2,3,17685.84,-16.31,500,high,denied
Company 615,retail,87158.93,1.959,30,65.54,93243.32,57.14,2,107690.6,-0.11,570,moderate,review
Company 616,healthcare,368941.53,1.9,45,62.05,305897.28,43.2,0,274061.5,-2.78,638,moderate,review
Company 617,healthcare,99902.39,0.399,26,87.14,119360.92,94.38,2,93120.88,-2.05,638,moderate,review
Company 618,retail,194605.65,0.95,30,93.76,257352.92,31.14,1,509405.46,11.1,693,moderate,review
Company 619,technology,69309.12,0.162,32,85.07,112739.32,42.18,3,156046.22,-2.57,628,moderate,review
Company 620,technology,56467.77,0.61,20,70.79,90700.04,86.26,3,70033.36,-25.08,536,high,denied
Company 621,healthcare,81228.15,0.357,6,67.9,110723.83,31.01,3,94104.32,1.45,622,moderate,review
Company 622,manufacturing,31173.97,0.393,25,75.12,56083.28,18.74,5,21837.3,-10.97,600,moderate,review
Company 623,services,27694.24,1.473,43,50.15,46865.53,32.9,2,38003.84,12.44,630,moderate,review
Company 624,manufacturing,164891.61,2.312,16,86.83,58234.34,73.34,4,246541.62,17.09,516,moderate,review
Company 625,services,179489.84,0.405,43,89.98,344206.04,82.39,2,495473.47,-27.62,618,moderate,approved
Company 626,retail,27095.28,1.645,42,48.71,48617.35,15.3,1,63884.97,-6.61,604,moderate,review
Company 627,healthcare,129884.26,0.566,12,93.2,92186.87,60.95,2,220528.47,10.3,613,moderate,review
Company 628,technology,55850.4,0.307,29,89.41,7726.93,56.06,1,46754.78,-16.13,640,moderate,review
Company 629,manufacturing,78577.99,0.484,37,59.71,98030.3,65.19,3,168188.64,16.74,608,moderate,review
Company 630,services,86523.81,0.352,25,93.63,80726.14,65.4,5,245730.28,20.74,604,moderate,review
Company 631,services,132651.46,0.155,35,38.43,202184.26,91.35,6,92207.64,2.57,500,high,denied
Company 632,services,63970.32,0.05,45,31.96,70158.78,36.19,3,167699.45,-6.61,578,moderate,review
Company 633,technology,185003.42,0.05,31,54.35,45387.23,31.98,4,175806.23,-29.66,569,moderate,review
Company 634,retail,76690.28,1.25,42,69.58,43322.81,57.31,1,172798.72,17.21,650,moderate,review
Company 635,technology,98651.37,0.813,40,54.6,175283.28,43.65,2,94669.81,35.04,656,moderate,review
Company 636,technology,30742.15,0.42,40,95.94,5275.67,47.64,4,61485.34,31.93,703,moderate,review
Company 637,healthcare,336693.13,0.62,42,47.83,504929.39,11.23,0,368362.98,2.08,673,moderate,review
Company 638,healthcare,87191.31,4.267,12,49.68,57083.51,18.34,2,161674.06,-11.39,477,high,denied
Company 639,healthcare,105915.61,0.545,1,74.44,101680.64,89.18,3,211873.03,17.56,512,high,denied
Company 640,services,16538.58,0.236,8,30.27,18339.81,11.15,2,33842.92,3.1,576,moderate,review
Company 641,healthcare,31002.97,1.192,13,80.93,17831.5,58.11,2,68423.47,12.17,580,moderate,review
Company 642,services,161184.82,0.126,34,56.42,215782.13,72.91,6,108408.71,9.54,543,high,denied
Company 643,technology,75320.9,0.872,25,98.44,106770.4,6.07,3,170109.87,6.4,678,moderate,review
Company 644,technology,12951.62,0.536,23,78.4,3388.31,25.05,2,11481.54,20.43,689,moderate,review
Company 645,manufacturing,137397.29,0.78,1,33.66,111355.21,38.94,1,301254.71,20.99,598,moderate,review
Company 646,services,38753.4,0.323,34,36.48,58684.93,50.61,2,31393.9,-2.84,555,moderate,review
Company 647,technology,185174.44,0.488,18,36.17,272412.23,35.74,2,314525.6,-8.85,523,high,denied
Company 648,manufacturing,55811.29,1.382,38,96.68,63331.66,63.41,1,81870.76,-32.49,619,moderate,review
Company 649,healthcare,70528.02,0.087,6,77.88,111263.74,25.38,3,205826.57,-0.19,612,moderate,review
Company 650,technology,153762.37,1.563,15,59.93,46824.53,7.29,1,319367.97,-11.4,564,moderate,review
Company 651,retail,29202.38,1.775,3,44.03,9479.13,5.14,4,21040.75,11.29,525,high,denied
Company 652,services,27057.58,0.47,14,91.15,36506.89,36.1,1,60939.52,-0.04,664,moderate,review
Company 653,healthcare,51164.5,1.232,46,44.11,72517.21,37.55,1,50414.74,1.59,586,moderate,denied
Company 654,technology,116045.57,0.967,25,79.47,191196.8,90.37,3,141038.99,17.18,565,moderate,review
Company 655,services,20646.44,0.719,22,83.43,9166.4,9.03,0,29856.97,10.96,683,moderate,review
Company 656,retail,15765.39,1.375,14,50.63,17056.04,52.71,2,38476.44,3.25,540,high,denied
Company 657,services,115725.55,0.422,13,65.34,156875.18,57.0,2,330998.5,30.3,631,moderate,review
Company 658,retail,36960.95,1.822,33,45.61,19405.58,67.93,2,103891.25,16.07,550,moderate,review
Company 659,manufacturing,43748.79,2.426,49,56.53,47343.32,62.49,4,40542.4,-1.24,537,high,denied
Company 660,retail,13555.55,0.95,37,97.56,17799.06,5.73,3,8825.12,-0.57,722,moderate,review
Company 661,retail,34780.65,0.21,37,78.52,17649.58,61.87,2,89432.62,16.83,639,moderate,review
Company 662,services,59512.77,0.05,24,89.26,48417.83,34.01,1,72638.05,8.04,673,moderate,review
Company 663,technology,126033.41,0.496,5,67.84,64408.58,74.56,0,246655.6,-11.82,586,moderate,review
Company 664,technology,32306.25,0.067,36,46.73,58654.95,21.95,2,95192.57,18.42,666,moderate,review
Company 665,retail,225460.64,0.459,40,79.9,123984.84,69.46,1,217807.39,23.86,684,moderate,review
Company 666,healthcare,34625.83,2.443,26,65.04,11412.18,61.29,1,49762.15,22.72,624,high,denied
Company 667,services,34666.41,1.412,5,42.38,5782.19,63.71,0,92524.56,28.14,574,moderate,review
Company 668,services,204819.84,0.078,35,58.87,37975.97,20.84,3,435232.2,36.04,630,moderate,review
Company 669,retail,70910.1,0.224,46,74.44,32903.27,65.23,1,201659.99,30.95,696,moderate,review
Company 670,retail,38498.72,1.102,12,81.47,48338.84,71.33,2,80050.32,10.11,576,moderate,review
Company 671,technology,52885.98,3.048,8,47.03,7062.12,49.05,1,66579.47,1.87,532,high,denied
Company 672,manufacturing,176744.22,1.304,37,91.32,113967.05,35.63,5,444117.83,-22.44,598,moderate,approved
Company 673,services,193486.35,0.151,17,56.57,40732.18,19.99,0,464011.11,5.16,614,moderate,review
Company 674,healthcare,31149.87,0.497,36,48.98,27005.43,31.1,2,88280.22,12.79,652,moderate,review
Company 675,manufacturing,57875.7,1.561,35,43.66,11129.25,73.74,0,97834.09,5.65,595,moderate,review
Company 676,retail,64352.14,0.834,14,86.29,80718.78,41.85,1,113073.03,-23.32,596,moderate,review
Company 677,services,27200.97,0.453,3,54.79,38299.13,68.24,2,35621.24,0.7,540,high,denied
Company 678,manufacturing,57265.4,5.987,28,63.84,85299.19,71.61,1,67109.09,14.68,511,high,denied
Company 679,technology,60129.65,1.247,20,45.6,31643.37,65.68,1,179866.99,-10.39,497,high,denied
Company 680,retail,149069.45,0.643,42,78.03,260893.94,65.62,0,438732.08,7.49,679,moderate,review
Company 681,technology,157304.71,1.131,18,84.67,222043.07,59.97,3,286942.06,11.47,618,moderate,review
Company 682,technology,46010.85,0.263,13,53.76,9553.48,51.66,3,132866.17,21.77,581,moderate,review
Company 683,technology,50455.02,1.83,43,96.16,47299.4,22.8,2,70152.08,30.69,714,moderate,review
Company 684,manufacturing,101868.07,0.729,37,32.14,158785.57,80.85,2,267402.24,-0.67,542,high,denied
Company 685,manufacturing,37490.74,1.171,31,39.31,25894.8,91.78,3,78249.56,7.76,501,high,denied
Company 686,retail,95885.7,5.224,47,71.22,79102.03,46.98,1,219833.81,8.23,537,high,denied
Company 687,retail,55808.13,0.691,39,79.1,72341.13,88.99,3,128107.97,14.74,625,moderate,review
Company 688,services,27569.93,0.643,43,47.55,5663.24,94.82,1,57609.35,13.06,581,moderate,review
Company 689,healthcare,27848.4,0.763,40,68.78,53947.26,48.76,1,73264.12,26.38,641,moderate,review
Company 690,manufacturing,190545.63,0.423,20,52.29,82223.09,70.19,3,282013.84,-29.97,513,high,denied
Company 691,retail,52831.5,0.855,4,68.79,7960.48,62.94,1,138575.56,11.27,575,moderate,review
Company 692,services,222411.22,0.073,30,76.15,24490.51,26.35,4,213189.58,12.31,617,moderate,review
Company 693,technology,39699.39,1.939,38,98.1,34107.86,9.24,2,39695.36,1.47,671,moderate,review
Company 694,retail,75581.3,4.471,49,61.9,134540.86,45.8,5,173334.98,-28.96,473,high,denied
Company 695,services,406013.37,0.679,34,75.38,672986.64,75.85,0,964413.61,4.09,641,moderate,review
Company 696,manufacturing,25696.0,0.05,28,70.46,47097.86,34.26,1,70811.82,-5.66,625,moderate,review
Company 697,healthcare,13118.1,0.342,29,52.23,14616.01,75.6,2,15567.35,30.17,618,moderate,denied
Company 698,manufacturing,167589.38,0.05,6,47.71,159648.63,63.93,0,107286.3,10.63,611,moderate,review
Company 699,healthcare,30901.27,0.167,1,99.15,25744.96,67.6,1,54654.45,-6.93,662,low,review
Company 700,retail,58890.49,2.361,3,44.48,11082.86,30.72,1,158318.32,-25.79,520,high,denied
Company 701,technology,37468.86,0.503,45,85.32,68496.46,47.3,3,109733.72,13.86,646,moderate,approved
Company 702,retail,74200.8,0.67,39,40.26,77371.74,21.35,1,196228.9,15.44,655,moderate,review
Company 703,technology,27989.12,0.813,13,86.3,26999.09,27.19,1,48278.18,1.76,649,moderate,review
Company 704,services,51846.77,0.236,21,43.0,55933.24,13.09,0,137832.34,14.06,623,moderate,review
Company 705,retail,85806.69,1.905,24,97.7,138053.83,16.41,0,88803.69,-0.22,677,moderate,review
Company 706,manufacturing,26724.95,0.991,13,78.02,14070.55,23.95,2,74908.01,21.01,676,moderate,review
Company 707,healthcare,34198.35,1.039,21,36.31,49546.96,57.22,3,65562.17,19.89,567,moderate,review
Company 708,healthcare,45346.75,0.747,18,78.52,65773.76,44.71,4,66814.3,-19.58,536,high,denied
Company 709,retail,19090.53,1.224,35,72.25,32724.04,29.02,3,37304.86,-15.93,593,moderate,review
Company 710,manufacturing,42699.87,0.537,38,53.63,4974.49,82.5,2,105042.56,35.47,630,moderate,review
Company 711,services,65843.58,1.499,5,48.25,27901.32,52.26,2,72447.94,18.98,508,high,denied
Company 712,healthcare,43493.24,0.826,23,80.31,43275.3,88.08,3,32824.33,-13.94,518,high,denied
Company 713,services,48189.61,0.05,49,81.9,82694.67,62.15,0,112416.74,-18.56,676,moderate,review
Company 714,services,58928.41,0.093,43,52.9,113951.17,6.42,1,169782.92,8.12,684,moderate,review
Company 715,healthcare,35433.23,0.474,39,91.34,43591.74,87.21,1,74142.08,-12.13,597,moderate,review
Company 716,technology,104073.23,0.05,37,48.82,52354.51,82.17,2,89134.42,0.25,589,moderate,review
Company 717,manufacturing,188864.01,0.08,1,34.89,85123.07,62.17,2,398212.85,4.29,548,high,denied
Company 718,technology,41294.96,0.463,48,71.99,54300.54,53.13,3,32688.27,3.64,630,moderate,review
Company 719,healthcare,88270.27,0.346,37,37.49,44058.46,45.76,3,111115.66,21.9,598,moderate,review
Company 720,services,49429.68,1.027,44,49.37,56886.94,48.4,2,28619.5,32.52,646,moderate,review
Company 721,manufacturing,80208.91,0.293,45,65.5,135243.66,74.23,1,137859.39,-2.18,640,moderate,review
Company 722,retail,209530.3,0.31,13,50.05,176143.18,51.18,3,273098.74,-11.96,503,high,denied
Company 723,technology,89942.66,0.457,1,45.05,73671.78,20.84,2,66899.78,10.83,555,moderate,review
Company 724,services,14490.79,0.05,33,79.22,2444.11,10.24,0,18440.52,29.47,736,low,approved
Company 725,technology,86094.13,1.021,23,68.29,50172.28,16.36,2,182427.03,-1.05,599,moderate,approved
Company 726,technology,160538.81,1.321,2,88.78,229018.85,27.63,1,196291.43,17.76,666,moderate,review
Company 727,technology,50147.46,3.527,14,70.69,39352.88,38.1,1,43010.48,-7.56,547,high,denied
Company 728,technology,132787.83,1.508,49,63.84,53217.1,85.32,0,247250.09,5.32,597,moderate,review
Company 729,manufacturing,34472.17,0.375,18,48.29,10374.7,26.52,1,82149.53,-12.43,584,moderate,denied
Company 730,manufacturing,18243.58,1.477,13,85.44,5119.18,33.76,2,46983.67,5.16,632,moderate,review
Company 731,retail,67032.66,5.036,33,43.78,90651.85,25.07,2,112631.14,3.25,480,high,denied
Company 732,technology,14688.48,0.243,33,46.96,18565.95,54.12,3,33455.67,14.12,609,moderate,review
Company 733,technology,49423.59,3.163,17,88.91,53633.98,60.54,1,127676.93,31.67,632,moderate,review
Company 734,retail,167623.19,0.433,42,81.88,176108.32,52.89,1,365791.19,-0.83,691,moderate,review
Company 735,technology,12993.31,0.059,29,72.9,5079.86,90.67,2,23624.15,-25.0,572,low,review
Company 736,healthcare,21512.78,0.069,8,32.72,22613.12,94.58,1,13980.05,1.97,546,high,denied
Company 737,technology,26222.53,0.208,16,38.91,5608.52,80.37,2,32124.85,9.49,533,moderate,review
Company 738,retail,56916.7,1.109,42,65.0,105815.61,77.48,6,73965.41,8.03,590,high,denied
Company 739,retail,44686.49,1.246,5,82.24,9395.44,37.94,2,66472.42,2.64,597,moderate,approved
Company 740,retail,183378.78,1.167,1,62.49,165904.13,57.18,1,527623.24,27.32,611,moderate,review
Company 741,technology,128473.59,0.501,33,31.21,12986.75,36.63,3,131324.21,7.04,560,moderate,review
Company 742,technology,88984.58,0.817,22,42.9,141813.46,75.59,1,164967.38,3.43,565,moderate,review
Company 743,services,67272.33,1.221,13,71.21,27966.68,20.46,2,200340.04,-6.67,602,moderate,review
Company 744,technology,82008.96,0.762,24,78.6,152318.56,24.5,3,167871.23,-21.2,576,moderate,review
Company 745,manufacturing,30043.88,0.599,9,32.34,5514.79,8.48,1,30713.16,9.94,568,moderate,review
Company 746,manufacturing,118867.93,0.275,19,33.03,197260.84,59.8,1,344773.72,8.68,564,moderate,review
Company 747,retail,24596.63,0.482,12,48.29,33146.71,66.97,0,32977.48,-10.89,583,moderate,review
Company 748,retail,116809.72,1.458,29,35.85,67106.94,5.3,1,72384.27,4.33,560,moderate,review
Company 749,healthcare,154649.11,0.785,34,67.94,74942.53,50.97,2,244098.83,2.84,608,moderate,review
Company 750,services,70876.32,0.221,45,38.66,55254.33,38.92,4,78080.14,-4.37,599,moderate,review
Company 751,retail,52001.59,0.265,4,75.38,87048.86,76.31,1,132456.34,-6.9,553,moderate,review
Company 752,retail,82474.79,1.562,17,84.41,143317.88,8.5,1,86589.42,11.08,679,moderate,review
Company 753,technology,10000.0,2.364,13,97.94,4330.42,9.37,2,25496.35,1.61,599,moderate,review
Company 754,manufacturing,76252.58,0.358,29,96.39,58832.78,60.82,1,45021.63,-3.86,642,moderate,review
Company 755,healthcare,54683.47,0.502,27,49.14,30143.37,58.25,2,154365.61,-7.93,562,moderate,review
Company 756,technology,57497.54,0.05,43,32.06,19147.91,79.8,3,34813.83,3.05,593,moderate,review
Company 757,retail,105369.24,0.114,46,53.06,139957.09,58.3,2,299917.69,18.87,628,moderate,review
Company 758,services,56397.77,1.201,38,79.59,42701.85,90.44,0,38588.94,8.1,599,moderate,review
Company 759,technology,24048.66,4.008,10,34.19,12703.22,33.29,1,64485.49,1.44,448,high,denied
Company 760,manufacturing,53470.1,0.924,2,55.18,93326.48,40.81,1,137863.56,9.63,595,moderate,review
Company 761,healthcare,63199.04,0.803,45,50.86,96176.56,92.99,3,125517.06,25.47,557,low,review
Company 762,technology,65640.43,1.499,47,45.35,103065.07,14.68,0,38725.57,12.36,677,moderate,review
