companyName,industry,revenue,totalExpenses,accountsReceivable,accountsPayable,currentAssets,currentLiabilities,previousCashBalance,availableCash,monthlyExpenses,cashFlowStatus
Alpha Tech 439,healthcare,91983.18,52995.81,32148.04,14911.68,167552.23,29091.56,51277.0,97379.22,48788.82,stable
Gamma Solutions 440,manufacturing,32381.39,19657.06,11194.77,5815.6,31883.37,11242.28,28496.26,41577.99,19397.17,stable
Flux Group 441,services,21306.51,12145.22,3991.53,4144.2,26864.48,8305.92,15037.97,22240.26,12099.35,stable
Flux Tech 442,technology,54657.2,33082.84,19589.15,10168.63,50374.28,20426.7,61979.35,88558.42,32749.79,stable
Zen Holdings 443,healthcare,62049.24,38026.69,17786.14,6200.52,98941.48,20187.3,73459.1,103858.38,36197.7,stable
Nova LLC 444,technology,46490.24,24122.6,11557.45,9925.33,63455.03,18265.62,46337.32,68257.92,24213.53,stable
Nexus Inc 445,retail,95890.54,62201.54,17843.61,17848.9,106866.36,32868.67,107773.1,144277.66,65327.48,stable
Nova Group 446,healthcare,50285.2,32490.34,20324.6,5623.96,85807.78,15632.78,21263.29,43239.26,31404.98,stable
Nova LLC 447,services,118041.58,60526.18,17957.71,23111.83,130687.72,43498.36,104941.03,154371.16,58711.12,stable
Core LLC 448,manufacturing,82474.85,53208.77,20718.0,18519.12,80742.05,39229.04,39466.79,63664.74,53573.36,stable
Vertex Inc 449,technology,44547.82,32242.25,10287.03,11118.14,53609.82,19358.87,24468.85,31856.8,30868.75,tight
Nova Solutions 450,manufacturing,32943.8,22843.69,7937.45,6352.24,26742.81,13481.08,25384.54,36072.09,22250.8,stable
Apex Holdings 451,technology,20834.53,14617.58,7122.21,3992.78,36245.99,7620.37,20163.42,26048.67,14506.34,tight
Peak LLC 452,services,67997.49,34497.83,12120.69,10725.43,95822.77,22263.47,64553.05,90466.4,33870.26,stable
Zen Inc 453,healthcare,54103.36,36226.64,18262.49,5983.86,86449.81,19677.46,58567.61,83697.5,38071.2,stable
Zen Corp 454,technology,13000.0,7742.3,3165.63,1855.73,21034.05,4796.31,10443.52,15841.62,8174.63,stable
Peak Corp 455,technology,50705.64,23537.06,13567.92,10506.2,79057.93,14961.1,57485.41,82015.56,23171.31,stable
Nexus Holdings 456,technology,37855.71,27039.09,14684.44,9427.39,49960.38,14862.9,41607.2,51092.3,26813.2,stable
Alpha Corp 457,services,190076.43,102486.88,38708.35,28253.61,156296.55,62969.23,202270.17,303819.72,109978.98,critical
Gamma Tech 458,manufacturing,16866.54,12813.74,3371.36,2776.85,18102.01,6720.31,8544.05,13162.89,12820.07,tight
Core Inc 459,healthcare,22680.05,13377.55,7581.06,4997.35,40106.18,10031.02,17651.95,28426.09,14432.84,stable
Delta Corp 460,manufacturing,160057.1,109929.21,27230.29,25073.43,259167.51,50186.78,154073.03,222348.14,114551.56,stable
Gamma Solutions 461,manufacturing,194993.34,122972.91,38860.62,24436.07,286087.0,68952.9,229798.15,323425.76,118334.02,stable
Core LLC 462,technology,42889.31,29974.48,15784.0,5885.62,45996.54,15505.75,13316.38,36837.76,28675.23,stable
Alpha LLC 463,services,32499.2,18684.21,6268.31,6890.34,28837.38,10605.96,19317.63,29590.96,17664.99,stable
Nova Corp 464,retail,98026.03,76397.99,23970.94,26192.52,159224.46,40068.2,59611.12,66898.09,80140.21,tight
Core Holdings 465,manufacturing,11000.0,8895.2,2697.56,1520.56,9758.63,4417.56,6156.49,9537.5,8620.32,tight
Vertex LLC 466,healthcare,16209.72,12035.84,5644.24,2220.77,23217.81,4502.95,16788.12,23555.79,12374.37,tight
Delta Solutions 467,manufacturing,52613.26,40050.66,14839.29,13623.39,61046.98,27584.34,17918.2,30739.26,40307.85,tight
Omega Holdings 468,services,186195.4,81229.94,12357.9,26102.01,161688.66,49599.7,116091.21,187228.18,85466.86,tight
Zen Tech 469,technology,54928.09,29899.87,17041.27,10638.37,81712.62,18687.91,51660.76,81705.59,31099.77,stable
Omega Holdings 470,manufacturing,71400.46,44246.08,17675.23,9000.17,121889.14,18684.85,47557.4,83098.98,41157.69,stable
Beta Solutions 471,retail,148305.77,119861.12,33265.27,44106.06,222745.72,91566.44,63720.64,84412.94,116762.52,tight
Alpha Holdings 472,manufacturing,355335.6,253586.01,105973.15,109252.19,456391.82,193072.97,301952.54,357744.28,254401.5,tight
Gamma Group 473,technology,49064.23,23980.58,11938.08,7921.15,58093.37,16182.84,37796.59,66801.22,25145.61,stable
Beta Holdings 474,technology,76795.01,44917.43,27808.0,9380.51,135909.58,24750.26,90898.79,127251.07,46455.61,stable
Apex Holdings 475,retail,257208.98,162162.8,35207.86,57383.44,312506.69,105384.26,250437.59,312694.94,163444.64,stable
Omega Corp 476,retail,17716.3,13211.89,1856.27,3341.61,19513.03,8427.19,21039.14,22649.69,13863.76,tight
Core Holdings 477,retail,136225.22,84128.64,21776.31,13863.25,182908.39,38761.57,63714.9,112373.31,83252.74,stable
Peak Inc 478,manufacturing,29163.05,21647.91,6995.09,5210.69,28492.75,11272.35,28738.3,35949.28,20108.87,tight
Zen Group 479,manufacturing,71488.23,52203.35,23371.16,22012.88,63671.62,33415.53,56938.54,68307.39,55298.26,tight
Gamma Corp 480,retail,49311.11,44509.98,8236.49,12166.44,75058.54,21977.95,46414.51,42649.03,44699.37,critical
Omega Corp 481,retail,27822.23,22753.85,4459.43,9315.42,35265.92,16920.23,20054.16,17931.51,23876.63,tight
Zen Corp 482,technology,35450.15,20070.7,12231.45,6073.35,35801.44,10763.71,17411.4,38507.46,19724.14,stable
Alpha Inc 483,manufacturing,82161.46,62890.13,25029.96,19187.36,90598.75,40078.06,28030.45,47532.28,63781.18,critical
Omega Corp 484,retail,132777.68,84736.98,25118.92,12843.15,222948.84,45736.07,140008.68,198722.2,82446.95,tight
Core Corp 485,technology,70162.92,36695.36,26028.56,12517.93,105623.04,22052.37,72501.28,103201.59,36164.45,stable
Flux Group 486,retail,63328.49,49184.16,11426.62,8968.44,83374.88,17542.79,28262.6,48117.04,46409.37,tight
Beta LLC 487,manufacturing,104010.74,54849.03,26874.56,16105.02,86385.73,33472.23,91598.39,149073.9,56969.3,stable
Beta Tech 488,technology,35777.31,21360.03,12949.91,4872.12,65506.48,8126.97,34487.91,54617.14,20609.13,critical
Core Solutions 489,manufacturing,119022.07,73600.74,29214.58,19704.01,194986.48,45225.13,95439.33,144369.89,71265.9,stable
Nova Inc 490,manufacturing,126853.06,89825.23,31924.14,27946.71,164838.54,53224.72,74273.23,114532.32,87729.63,tight
Delta LLC 491,healthcare,576783.69,325179.74,251523.17,50187.99,718365.5,138777.7,630338.82,984954.22,321648.35,stable
Zen Group 492,manufacturing,48748.36,35778.36,16140.4,8421.34,74543.62,18881.52,42810.64,56046.69,36214.37,tight
Vertex LLC 493,healthcare,49804.28,32449.79,17411.14,14501.28,83818.88,23558.08,47224.2,60668.36,33398.91,stable
Delta Group 494,retail,110765.73,95483.3,14102.96,15966.69,156561.14,38018.02,98238.47,108768.41,98167.37,tight
Beta Holdings 495,healthcare,138358.7,90007.7,58547.69,22125.52,262910.04,41961.16,131324.52,216033.47,88908.61,critical
Beta Holdings 496,manufacturing,42926.32,27408.82,12449.53,6754.26,61250.55,13711.29,18482.38,36641.03,27329.41,stable
Nova LLC 497,retail,43367.69,31669.21,7189.45,8354.84,42804.1,20190.49,49020.01,59810.15,29846.69,tight
Core Holdings 498,manufacturing,101540.69,60158.91,23751.01,21382.54,125081.27,32442.31,56581.49,102801.72,60365.91,tight
Vertex LLC 499,retail,30882.12,24164.98,5144.49,5420.76,45795.16,11007.49,32515.66,39542.59,25622.83,tight
Flux Solutions 500,manufacturing,47423.97,35434.62,11804.52,10208.03,48100.1,17226.75,52358.23,60211.37,35210.39,tight
Vertex Tech 501,healthcare,77187.73,65419.35,24451.77,22468.87,80907.51,39267.53,68396.14,69026.73,70004.09,tight
Flux LLC 502,services,119538.1,59799.31,24678.89,14752.29,171093.29,25717.96,100229.19,170246.89,56505.88,stable
Peak Solutions 503,services,33221.77,17560.24,7085.25,7632.24,38460.79,13606.22,13227.03,30180.71,18225.87,stable
Omega Solutions 504,manufacturing,15084.19,9864.15,3487.92,4378.71,23347.32,6113.49,10447.3,14809.1,10192.41,stable
Peak Group 505,manufacturing,14214.7,10191.5,4196.06,1894.62,13345.83,5118.35,12089.32,17951.66,10487.51,tight
Nexus Corp 506,healthcare,26233.46,17852.8,10872.24,4519.36,32795.45,8392.13,9802.98,26944.11,18317.99,stable
Peak Solutions 507,retail,20941.03,15616.36,4156.69,3316.78,20241.49,7502.71,8383.03,14648.51,14422.79,tight
Alpha LLC 508,services,47617.27,30327.73,8865.75,6248.63,65904.96,12314.09,56861.36,73155.72,31502.61,stable
Prime Inc 509,manufacturing,25443.26,16554.44,7322.34,4921.54,39363.78,10426.81,15240.78,23842.04,16553.61,stable
Nexus Holdings 510,technology,44362.97,30117.75,13481.82,9612.02,55892.93,21269.67,27272.54,44718.23,30234.3,stable
Delta Group 511,technology,41902.28,26946.51,9981.66,7482.93,50963.32,13018.72,22056.37,36830.63,25010.13,stable
Beta Corp 512,services,37882.07,20798.68,8850.63,4820.44,32793.31,12896.32,33389.93,55602.48,19761.68,stable
Zen Tech 513,technology,224216.58,128880.83,68903.23,30104.82,338373.01,59917.33,162729.28,270940.96,137356.17,stable
Delta Inc 514,retail,101677.17,95996.81,28436.81,42971.86,180171.44,70759.27,102835.06,89666.61,93163.42,critical
Peak Group 515,retail,60651.74,41524.56,13517.06,17735.27,91025.24,31247.26,46170.85,57757.73,40819.51,stable
Beta Holdings 516,technology,53827.69,33579.58,18062.28,5801.53,56985.75,12511.31,16895.13,44894.39,31909.75,stable
Gamma Corp 517,retail,42336.88,29211.71,6877.99,10135.45,54427.5,17765.28,31092.99,39864.66,29829.55,stable
Apex Solutions 518,healthcare,93388.06,74042.69,33450.3,21254.94,107689.78,33616.87,32654.87,46729.8,76894.23,tight
Prime Holdings 519,technology,124206.34,83335.76,31028.67,29721.22,96879.96,56743.96,129684.81,166162.6,88952.75,stable
Delta Group 520,services,26070.13,12923.8,2947.24,4253.07,20670.31,7537.7,10487.81,20160.03,13052.13,stable
Peak Group 521,services,55482.56,32790.62,8675.92,13666.33,42109.36,25894.32,27478.22,42254.0,31613.46,stable
Delta Tech 522,retail,11786.43,9082.81,1739.84,1544.95,9942.41,3529.53,8415.14,10724.17,8459.31,tight
Alpha Tech 523,technology,92201.83,51510.4,17953.82,13128.94,137410.92,32749.27,43857.24,91034.94,49582.75,stable
Zen Corp 524,manufacturing,121179.67,92175.69,26996.88,41077.94,123072.01,58154.4,95162.15,108131.1,93921.35,tight
Delta LLC 525,technology,62212.38,39265.0,17893.49,8036.98,96096.94,19884.86,44458.75,75867.22,42243.51,stable
Vertex Group 526,retail,256073.96,196474.26,35652.84,36976.46,406668.81,81566.7,296346.8,336130.76,183245.97,stable
Delta Tech 527,services,26626.14,14555.08,4444.27,5366.34,33048.02,8211.06,10105.58,19382.86,14295.11,stable
Beta Solutions 528,services,64125.14,37480.14,11730.05,14363.54,74919.54,20865.75,52522.27,70094.79,38483.03,stable
Flux LLC 529,healthcare,69819.02,46663.61,30454.69,16410.76,117737.34,31058.96,66213.54,92388.54,47220.37,stable
Alpha Tech 530,retail,55257.64,41704.46,10118.08,15966.92,43111.87,24653.62,22924.42,31261.63,42716.66,tight
Vertex LLC 531,healthcare,65569.36,39257.6,21112.35,14058.79,81974.62,25569.27,57229.98,90137.16,39026.51,stable
Gamma Inc 532,healthcare,78276.72,61486.47,27129.35,11727.39,105314.07,36005.61,84367.84,116455.93,59194.61,tight
Beta Holdings 533,retail,117991.4,78578.31,17531.67,26124.66,174584.28,44118.34,119029.73,154370.19,78361.46,stable
Prime LLC 534,manufacturing,198292.63,145588.61,41959.16,55769.61,302558.84,78879.78,226381.5,251319.67,142829.09,critical
Peak Holdings 535,technology,77696.39,44627.31,20320.98,18281.8,125076.34,26569.34,73697.13,103399.48,46121.77,stable
Alpha LLC 536,technology,149435.05,110696.07,52380.9,24781.59,231385.1,44688.12,97818.41,166299.34,104880.1,tight
Nexus Solutions 537,manufacturing,37567.58,23581.97,8603.38,4438.82,47318.86,10707.4,42391.49,59502.52,23567.44,tight
Flux Tech 538,technology,143649.08,77739.85,35232.12,29877.54,225980.75,56010.77,72229.78,126658.12,83449.85,tight
Alpha Inc 539,technology,42309.67,22103.19,12601.64,5016.64,70704.77,9970.21,34919.53,61647.21,22215.63,stable
Apex Group 540,services,128948.38,74258.43,26550.53,11850.07,152982.43,25696.35,127541.83,189084.11,71136.13,stable
Flux Solutions 541,services,315890.9,139041.26,32020.21,55277.81,501327.29,98407.25,342758.39,452350.91,148737.45,critical
Peak Inc 542,manufacturing,59733.19,39526.51,14811.6,11929.0,96933.87,20834.12,67193.14,87123.33,37908.5,stable
Peak Solutions 543,services,9326.4,3523.62,2270.04,873.82,11694.08,1909.03,3511.19,9458.12,3665.23,stable
Zen Holdings 544,services,34758.56,19785.74,7735.92,3035.7,27523.53,10622.48,33140.66,52098.04,18549.63,stable
Beta Inc 545,technology,208535.46,116776.27,85810.21,18754.06,236892.49,44776.11,100867.32,223514.12,123354.79,stable
Zen Tech 546,retail,93196.13,58802.6,19809.35,22802.88,138764.75,39157.24,93308.66,116809.22,55797.32,tight
Flux LLC 547,retail,73066.91,61145.95,16253.49,18154.95,60908.65,39660.17,67997.58,74520.14,60110.67,tight
Core Inc 548,technology,174433.52,86412.03,76751.5,16843.14,245917.13,44748.14,80800.59,215990.01,92849.67,critical
Core Inc 549,healthcare,105861.22,75559.03,41064.4,19460.36,158025.4,44989.45,111106.35,153429.47,76518.87,tight
Flux Solutions 550,retail,158606.27,110059.55,25084.14,21966.96,243698.59,59733.05,113500.22,149832.57,105903.63,stable
Alpha Tech 551,manufacturing,137427.13,113806.94,41047.7,20925.05,226177.7,53357.64,108494.67,144332.57,104713.81,tight
Flux LLC 552,technology,262951.43,173538.49,71532.83,40415.79,403976.52,89703.41,308774.24,411756.26,159843.92,stable
Apex Corp 553,technology,103714.91,53864.98,31672.91,16959.53,125814.33,34720.02,92406.15,156111.54,51922.28,stable
Vertex Corp 554,services,111173.46,52988.99,18634.19,11286.76,90035.26,28477.03,92241.38,150859.44,53216.67,critical
Nexus Holdings 555,technology,60880.16,39477.25,19475.52,9991.75,90683.95,22526.34,19182.52,44754.52,39381.82,stable
Nexus LLC 556,technology,48107.61,27854.77,12864.19,8172.01,45639.36,15011.3,23057.66,49264.35,29735.0,stable
Nexus LLC 557,retail,234547.67,172733.24,27126.28,47675.91,276055.11,109365.11,75972.07,107651.27,180032.09,critical
Omega LLC 558,manufacturing,78297.73,62777.49,21193.13,11839.1,137126.88,24962.78,46977.17,68160.54,67043.7,tight
Vertex Group 559,manufacturing,125393.82,80265.2,30485.05,12975.65,162187.4,28140.39,76497.44,118959.98,80416.46,stable
Apex Holdings 560,manufacturing,72714.94,51431.53,11170.76,8261.84,94469.86,20414.62,56521.11,76625.55,50992.65,tight
Prime Group 561,technology,48686.24,32929.92,11062.59,8398.9,68394.32,15428.05,44829.88,63037.02,33278.13,stable
Nova Inc 562,technology,78523.29,52196.74,19052.63,19085.25,123519.1,35568.75,36231.48,56901.09,51128.97,stable
Vertex Group 563,services,169979.77,91318.4,26491.59,17293.57,185419.38,36265.37,143036.1,229693.93,87093.08,stable
Vertex Group 564,manufacturing,102693.31,69511.82,27801.25,26838.1,130238.84,48673.32,115558.59,141161.08,73256.12,stable
Core Group 565,manufacturing,16749.63,9394.78,4370.77,3426.3,15693.05,6040.92,7813.82,14082.33,9666.15,stable
Vertex Corp 566,healthcare,60483.51,34203.45,24390.82,5170.98,91810.57,11605.08,54022.61,97922.41,33249.35,stable
Prime Inc 567,healthcare,298987.36,201956.62,115899.49,31914.07,353821.08,75253.77,101963.73,254211.63,200220.8,stable
Nexus Group 568,technology,65599.72,38636.23,23195.74,8056.04,89295.65,18890.86,51038.74,85422.88,36939.01,stable
Nexus Inc 569,retail,14180.41,10720.31,2558.43,1788.54,20518.73,5361.36,13717.93,17228.18,10828.1,tight
Gamma Holdings 570,manufacturing,299463.94,234522.28,78005.55,72561.88,232999.08,131089.94,99014.04,166576.4,229207.37,tight
Gamma LLC 571,retail,103353.87,67698.25,21184.19,10959.55,131143.98,25054.87,62043.21,95447.41,71766.37,stable
Omega Inc 572,services,50951.49,27060.62,12532.57,10575.12,46845.59,16630.46,55545.34,80873.65,27183.42,stable
Beta Holdings 573,manufacturing,48931.47,34990.74,13153.01,10423.34,51289.38,16504.01,24609.19,40052.51,34496.56,tight
Zen LLC 574,healthcare,170792.24,101393.75,70631.74,37352.07,161956.62,53198.63,162352.9,262781.09,105443.33,stable
Delta Inc 575,services,34928.3,23210.49,2888.94,8708.83,26272.14,17837.1,29724.49,37384.44,24714.91,tight
Peak Solutions 576,manufacturing,165035.41,127520.7,38862.02,38514.97,284208.5,60716.65,73823.46,94106.85,133997.11,tight
Prime Group 577,services,83149.52,47662.19,15358.59,20380.78,139960.04,29018.21,80450.22,112753.22,47623.43,stable
Peak Tech 578,manufacturing,80101.97,67569.1,24642.1,30208.27,122354.32,55056.2,62389.25,70901.9,66017.1,tight
Vertex Inc 579,services,60539.5,26037.34,16864.47,6711.5,84175.73,14936.08,24265.64,68902.01,26712.76,stable
Apex Tech 580,retail,52053.41,39007.88,4033.67,7324.09,70506.24,17427.84,60092.24,70232.93,40985.54,tight
Core Solutions 581,manufacturing,152028.35,110875.33,48733.96,28713.55,261049.79,63335.02,112921.46,167097.06,119366.42,tight
Vertex Corp 582,manufacturing,32959.54,20660.21,6309.37,4483.39,39905.19,12411.67,31989.63,44790.65,20518.9,stable
Core Group 583,technology,21265.14,13270.66,5166.14,4104.64,16549.02,6424.94,10546.02,16183.93,13627.89,tight
Delta Holdings 584,retail,97885.34,64748.55,13536.14,17062.3,131918.27,30719.56,41451.01,68513.71,62605.15,stable
Beta Group 585,services,89288.69,54041.5,16437.13,15895.49,148995.34,35624.69,86357.89,121380.05,50474.44,stable
Nova LLC 586,manufacturing,96713.0,75883.61,16642.29,28756.57,89955.86,54948.54,87664.7,94573.27,72885.39,tight
Core Tech 587,technology,107855.43,67063.07,35861.27,15572.47,139776.26,42301.4,58964.23,108984.93,61853.5,stable
Vertex Holdings 588,retail,46331.05,27880.92,8523.53,8677.73,48427.28,15047.88,45017.8,57194.95,27922.98,critical
Omega Tech 589,technology,146144.4,76383.32,51545.43,19137.72,181682.27,48638.61,110264.93,202956.51,74833.12,stable
Vertex Solutions 590,technology,75050.59,48420.9,20888.62,18665.69,112555.42,30089.26,46061.37,76396.22,49802.06,stable
Nexus Solutions 591,services,36495.66,20134.51,7226.9,6883.2,39284.85,13502.89,36795.02,52580.37,20505.99,stable
Zen Solutions 592,retail,46652.74,24934.95,6926.94,3803.86,74157.46,13046.89,39892.97,65250.11,23609.87,stable
Core Holdings 593,retail,301495.92,256098.6,70670.57,89126.26,459497.34,138475.31,228094.18,233364.26,263221.08,tight
Nova Tech 594,manufacturing,16437.64,11686.06,1780.0,2349.47,10453.27,4703.15,16368.55,19816.2,11101.57,tight
Core Holdings 595,technology,116098.56,62051.66,29274.57,22794.19,182356.2,41114.3,91757.98,140102.13,57146.64,stable
Zen Corp 596,retail,15626.32,12963.54,2348.28,4150.94,22238.35,8830.21,17887.15,18526.93,13938.79,tight
Nexus Holdings 597,healthcare,65889.53,39256.77,19484.95,10616.79,86461.25,17280.13,68278.04,94137.52,36285.73,stable
Vertex Corp 598,manufacturing,46555.86,30024.98,11037.65,10755.55,57445.34,21646.22,28974.92,42195.06,29264.75,critical
Delta Tech 599,services,10164.1,5881.64,1968.75,2393.7,15543.17,3780.47,7302.16,10609.2,6011.05,stable
Peak Holdings 600,manufacturing,89907.82,75745.82,19520.4,29057.85,102665.83,48112.21,104436.91,99976.66,74174.85,tight
Nova Group 601,manufacturing,48595.18,40328.51,12305.44,12647.58,44352.13,22123.38,53730.92,63551.48,39562.01,tight
Prime Inc 602,healthcare,13399.28,9095.12,5110.59,3336.17,16002.85,6772.94,6325.36,12184.72,9419.24,stable
Prime Group 603,services,105481.83,61916.87,19850.27,16976.02,100565.22,28288.14,57685.21,107512.96,62928.88,stable
Omega LLC 604,healthcare,226460.65,161538.89,74129.69,62468.36,341593.09,109891.11,142212.41,202533.69,162013.88,tight
Zen Holdings 605,services,177502.32,79776.87,34029.28,31808.28,154530.88,46728.71,193808.42,297457.13,84707.94,stable
Apex Holdings 606,healthcare,95749.12,67171.06,33476.59,12842.31,143087.54,38511.64,108644.19,148580.43,62959.31,tight
Delta Group 607,services,55909.3,27466.79,6316.86,6081.41,60323.39,15680.58,57145.24,82085.3,27333.93,stable
Prime Inc 608,technology,225232.74,140878.18,72767.68,32542.38,374503.18,61909.12,123458.54,231645.53,134996.61,stable
Gamma Group 609,healthcare,276019.95,174390.12,90382.72,34847.42,362262.02,73988.34,303168.81,446801.58,161465.94,stable
Vertex Group 610,retail,148279.6,117155.22,31594.94,31369.54,243605.69,60116.95,48871.92,66017.76,126134.63,tight
Nexus Solutions 611,manufacturing,31010.47,22000.32,8669.06,4574.09,52098.26,10103.96,21103.34,31640.43,22824.11,tight
Zen Tech 612,healthcare,84406.31,34113.45,34480.26,11211.79,92322.85,23299.4,54008.71,121454.75,32564.35,stable
Nova Solutions 613,services,76592.34,43221.93,11446.71,7800.89,102297.97,20384.24,59873.43,88165.16,42547.21,stable
Gamma LLC 614,services,12669.41,7619.03,2298.62,1759.81,11352.5,3717.81,10193.51,15286.6,7285.04,stable
Prime Corp 615,retail,87158.93,68478.53,7659.27,23943.94,122997.06,46532.35,43829.09,39497.47,70503.91,tight
Zen Tech 616,healthcare,442729.84,284140.97,139344.98,76594.04,642163.51,151739.73,214325.57,419973.54,277341.91,stable
Beta Tech 617,healthcare,119882.87,93673.23,49464.31,25894.92,144665.42,42949.07,122665.35,156340.23,99966.01,stable
Beta Corp 618,retail,194605.65,150801.83,43664.55,58718.85,189448.24,85391.52,71727.19,89080.34,143745.64,critical
Zen Holdings 619,technology,90101.86,57215.93,21858.11,25481.31,105614.78,38726.18,67031.95,88049.27,55841.15,stable
Vertex LLC 620,technology,73408.1,50178.8,20340.37,16033.15,115823.97,31122.79,34683.99,54780.11,53645.66,stable
Core Inc 621,healthcare,97473.78,66185.42,33744.47,11497.74,160086.24,23656.69,57276.62,101832.48,70259.06,stable
Peak Tech 622,manufacturing,34291.37,21540.42,9576.9,3896.03,27867.1,10089.63,18845.33,34543.56,20827.58,stable
Core Tech 623,services,24924.82,8846.64,2791.82,3897.39,22788.68,5820.67,23371.26,37874.5,8822.68,stable
Nova Tech 624,manufacturing,181380.77,120043.3,30807.52,42467.77,198194.95,81344.2,128856.27,172075.48,127413.09,stable
Prime Inc 625,services,161540.85,98681.37,36262.9,37078.61,211628.75,52578.07,91997.14,132136.45,101375.53,stable
Nova Group 626,retail,27095.28,19556.08,1423.8,6898.0,19022.92,12124.48,28401.73,29964.34,19985.63,tight
Alpha Tech 627,healthcare,155861.11,111299.53,51069.47,22692.34,181257.62,40841.51,58793.25,112960.77,114158.74,tight
Delta Holdings 628,technology,72605.52,44427.19,22370.1,12639.92,122972.09,22974.88,71859.47,103897.43,47419.67,stable
Nexus Group 629,manufacturing,86435.78,69411.85,23405.37,27030.65,107814.02,37712.7,45247.53,50364.61,69602.58,critical
Core Group 630,services,77871.43,40990.17,15022.5,16802.24,111905.71,27757.87,87700.15,116552.88,38903.15,stable
Zen Corp 631,services,119386.32,70128.62,21693.95,15512.5,139263.02,39479.23,36413.21,81151.12,69822.56,stable
Nova Holdings 632,services,57573.29,33995.35,13945.89,11177.28,69503.12,17128.34,46116.03,74683.64,35240.33,stable
Beta Tech 633,technology,240504.45,173194.02,75581.0,34141.84,345409.08,91954.98,206843.08,295206.7,172976.06,tight
Core Corp 634,retail,76690.28,47047.11,9022.55,20582.31,67258.43,34510.56,62853.08,76356.45,45641.44,stable
Alpha Inc 635,technology,128246.78,72244.92,38715.93,16302.88,134875.63,36253.41,132544.82,196914.89,74167.56,stable
Peak Group 636,technology,39964.79,26691.74,12755.1,9822.31,72276.82,17826.38,16023.79,27948.14,26479.19,stable
Apex Group 637,healthcare,404031.76,312587.95,176122.24,68561.13,729238.49,141698.67,272317.57,395106.32,335735.47,tight
Apex LLC 638,healthcare,104629.57,70018.71,40733.99,23443.4,170239.75,46380.47,112724.04,148770.05,68362.24,stable
Alpha Corp 639,healthcare,127098.73,79637.99,52202.99,27696.44,133183.25,55164.9,139791.04,186587.68,82409.23,stable
Peak Solutions 640,services,14884.73,9088.16,2522.51,2258.67,10414.76,5390.05,11141.37,16344.75,9168.24,stable
Delta Inc 641,healthcare,37203.57,26767.83,12046.17,10590.69,37173.93,16409.08,29843.59,43647.63,24958.6,tight
Nova Holdings 642,services,145066.34,75612.5,27305.98,31425.41,235872.35,55128.17,143255.56,218783.52,75246.63,stable
Core Group 643,technology,97917.17,61337.72,28672.24,24935.07,157559.6,36406.69,98078.67,135919.63,56716.92,stable
Alpha Group 644,technology,16837.11,11692.4,4202.52,2914.21,21428.16,6116.23,18508.58,23001.79,12234.61,stable
Zen Holdings 645,manufacturing,151137.02,128653.38,47350.73,48026.57,269337.85,67409.15,160125.39,185039.6,133481.08,tight
Flux Holdings 646,services,34878.06,21254.98,8516.09,6755.84,31067.62,10972.76,23472.27,34567.79,19726.36,stable
Nexus Holdings 647,technology,240726.77,145286.1,68538.79,47623.11,323504.66,92361.57,212989.75,319234.94,145279.0,stable
Prime Group 648,manufacturing,61392.42,42709.11,17317.91,12523.49,59262.57,28265.65,45118.01,60830.78,45863.02,stable
Delta Group 649,healthcare,84633.62,58785.81,30565.01,19403.92,98815.98,28942.34,34375.24,60820.93,56760.18,stable
Gamma Group 650,technology,199891.09,118084.89,67161.69,22518.35,355031.84,56720.24,207789.35,325815.21,125723.63,stable
Gamma Group 651,retail,29202.38,22344.82,2417.51,6092.41,42374.5,13001.29,24576.35,25187.66,21097.42,tight
Vertex Group 652,services,24351.82,11332.61,4693.01,2303.94,19347.91,6645.43,8576.83,21597.82,10437.97,stable
Zen Group 653,healthcare,61397.4,46279.19,21310.92,10830.8,67330.96,25352.55,55821.38,76470.15,46505.19,tight
Nexus Inc 654,technology,150859.24,76754.95,49961.88,14456.36,215078.45,27946.67,83695.34,175672.06,73552.65,stable
Flux Solutions 655,services,18581.8,9577.63,3132.48,2047.21,13563.43,3835.22,6732.9,16075.23,10158.77,stable
Nexus Corp 656,retail,15765.39,11947.13,394.19,4594.61,16949.18,8285.57,13336.42,11095.08,12279.59,tight
Nexus Tech 657,services,104153.0,73873.53,15197.49,23266.54,128150.52,38329.71,99881.45,123833.96,76082.53,critical
Omega Holdings 658,retail,36960.95,26470.89,5431.32,4158.39,34666.23,14272.29,28295.68,38165.87,27204.8,tight
Core Corp 659,manufacturing,48123.67,31122.48,12184.63,12030.62,50352.62,23862.51,14681.73,29724.77,32013.61,stable
Prime Holdings 660,retail,13555.55,9569.34,3174.54,4046.3,13057.61,7751.2,11104.64,13988.39,9947.69,tight
Gamma LLC 661,retail,34780.65,30701.29,6230.51,12714.29,56164.27,19567.99,10641.08,6025.82,31535.81,tight
Core Tech 662,services,53561.49,17408.14,10930.64,6909.38,58539.91,12640.79,60726.28,94929.47,18339.2,stable
Alpha Tech 663,technology,163843.43,85162.69,48887.67,38124.35,226701.88,65014.77,88569.6,189227.73,85954.67,stable
Flux Solutions 664,technology,41998.12,34375.59,14918.12,11203.71,48582.74,16666.03,45522.01,57294.37,33554.36,tight
Alpha Group 665,retail,225460.64,179753.14,27166.76,78871.41,298320.16,117768.42,70095.34,63848.86,178799.64,tight
