companyName,industry,revenue,numDepartments,fiscalQuarter,yoyGrowth,operatingMargin,headcount,prevUtilization,totalBudget,remainingBudget,approvedDepartments
Company 315,retail,41590.0,4,4,22.82,7.66,131,102.09,20894.84,7730.38,2
Company 316,retail,83541.14,3,1,1.21,29.83,211,91.22,36401.49,30941.27,2
Company 317,retail,25025.29,6,2,5.25,33.29,231,92.28,38736.75,32926.24,5
Company 318,healthcare,99212.55,3,4,14.1,30.7,194,78.0,69699.42,25758.43,3
Company 319,retail,123836.15,5,1,5.29,15.02,391,94.85,67878.08,57696.37,3
Company 320,services,66270.07,5,1,1.43,7.81,457,101.81,45557.87,38724.19,1
Company 321,services,10000.0,6,3,4.64,13.4,290,89.7,45962.72,29448.68,3
Company 322,manufacturing,21537.04,4,1,15.73,30.29,420,55.81,44492.86,37818.93,4
Company 323,retail,270750.04,6,4,-2.95,24.67,64,85.81,153568.57,61044.21,4
Company 324,manufacturing,38668.08,6,2,3.49,34.0,483,56.62,40191.0,26532.33,6
Company 325,services,12242.7,4,4,5.12,15.28,66,54.25,12014.02,1689.16,3
Company 326,healthcare,160845.24,4,1,15.38,21.54,42,88.11,58431.12,49666.46,3
Company 327,services,60517.3,3,1,3.8,28.7,20,95.91,33887.91,28804.72,2
Company 328,manufacturing,144922.21,5,4,26.7,12.02,129,58.74,73672.74,24921.56,4
Company 329,manufacturing,74724.77,4,4,3.12,33.92,420,54.08,40463.84,16005.27,4
Company 330,retail,86409.02,3,4,2.15,22.77,157,98.76,72026.81,35594.56,2
Company 331,healthcare,80050.05,5,2,2.95,5.24,397,57.27,118250.59,100513.0,1
Company 332,technology,104609.6,5,2,-10.8,5.75,217,51.93,79507.75,67581.59,2
Company 333,healthcare,370253.93,3,3,-7.44,31.47,60,89.66,136269.6,66644.28,1
Company 334,services,130197.14,3,2,-1.37,24.36,241,96.62,91573.81,65883.4,1
Company 335,technology,16911.15,3,1,18.63,27.89,123,78.3,21686.92,17546.62,2
Company 336,manufacturing,85590.47,6,2,4.6,28.52,152,79.7,48339.14,40154.41,6
Company 337,technology,149221.14,4,3,-0.82,17.61,263,68.53,84930.7,55093.71,3
Company 338,healthcare,156711.32,3,1,19.72,28.96,397,63.12,99154.39,84281.24,2
Company 339,technology,42561.95,3,2,23.61,33.13,297,91.54,73769.42,61526.24,2
Company 340,services,152048.61,7,2,20.06,10.17,119,96.71,43189.26,33155.3,5
Company 341,technology,125767.96,4,1,-5.24,27.92,361,67.67,116806.82,99285.8,2
Company 342,services,468838.65,6,1,-0.94,14.23,351,65.06,145720.37,123862.32,6
Company 343,services,32859.58,5,2,26.76,14.64,126,64.73,28731.06,22034.6,3
Company 344,manufacturing,39897.92,3,1,7.89,17.38,427,52.78,59367.77,50462.61,1
Company 345,healthcare,46868.67,4,2,1.79,30.91,423,65.46,95776.82,81410.3,3
Company 346,healthcare,40450.01,3,3,13.62,5.66,305,51.41,43573.94,19861.45,2
Company 347,services,29377.47,6,4,17.09,18.02,155,93.36,34152.96,11073.61,3
Company 348,retail,10000.0,4,1,-1.86,25.4,183,64.08,24167.17,20423.74,1
Company 349,manufacturing,42287.23,5,2,7.63,8.31,225,87.96,65603.74,52727.32,3
Company 350,technology,80457.67,3,1,16.12,28.77,102,79.88,27775.71,23609.35,2
Company 351,manufacturing,40353.06,7,2,-8.92,33.26,159,96.06,29461.55,22139.08,4
Company 352,technology,281617.47,4,2,5.15,7.73,75,102.82,170165.87,120031.15,1
Company 353,manufacturing,60518.27,5,4,-8.37,9.59,85,70.2,34709.43,11808.04,3
Company 354,manufacturing,168185.57,7,2,-6.8,34.22,374,54.86,90833.72,66893.87,1
Company 355,manufacturing,73801.65,6,4,-1.76,10.94,72,91.23,23712.04,7802.46,4
Company 356,manufacturing,115974.53,6,1,10.73,7.37,239,51.17,93030.29,79075.75,1
Company 357,healthcare,74861.37,7,1,1.14,33.57,220,62.26,53989.19,45890.81,7
Company 358,healthcare,178979.71,3,1,-2.78,31.78,32,52.93,103322.9,87824.47,3
Company 359,manufacturing,62614.46,7,2,5.62,24.67,417,99.4,69061.39,51301.75,7
Company 360,manufacturing,89044.95,5,1,-8.76,21.54,492,50.29,91919.47,78131.55,1
Company 361,services,80263.19,5,1,10.15,32.58,322,77.1,60556.38,51472.92,5
Company 362,technology,47542.13,4,1,18.58,24.67,338,73.32,68515.3,58238.0,3
Company 363,technology,82783.65,6,4,4.05,24.75,124,85.9,64071.43,20311.01,5
Company 364,technology,357721.13,7,4,2.57,30.31,423,65.94,149937.91,55314.35,6
Company 365,healthcare,48227.39,6,1,9.48,24.6,394,98.05,92238.64,78402.85,6
Company 366,retail,83748.36,3,4,-19.34,20.11,224,90.39,27060.28,3235.82,2
Company 367,healthcare,163770.8,5,1,11.44,16.69,355,73.78,108601.75,92311.48,3
Company 368,healthcare,149074.67,6,2,42.22,20.09,478,69.69,106023.82,90120.24,5
Company 369,retail,60437.99,4,2,3.53,20.67,305,94.87,32861.08,27196.85,3
Company 370,services,10000.0,6,2,3.57,15.82,107,91.64,10456.18,8887.76,5
Company 371,healthcare,90523.27,6,4,13.92,18.44,171,71.95,58371.78,18222.63,2
Company 372,retail,10141.8,3,3,24.74,29.06,100,68.78,15389.24,5716.39,3
Company 373,retail,194065.26,5,3,16.7,17.5,172,52.14,55757.12,26278.51,1
Company 374,retail,68567.85,3,3,-20.87,5.77,446,54.49,94787.21,56091.47,1
Company 375,technology,133217.61,5,3,11.76,13.49,102,52.97,73869.33,42771.01,4
Company 376,technology,29094.69,4,1,35.86,11.95,446,51.34,73686.63,62633.64,3
Company 377,services,17291.91,7,2,12.47,28.81,149,58.41,19792.57,14598.6,7
Company 378,retail,73762.33,7,1,-8.86,18.48,254,97.14,72494.24,61620.11,5
Company 379,retail,58286.0,5,3,8.38,13.41,268,93.9,43556.0,22644.43,4
Company 380,healthcare,40407.36,5,2,-10.37,29.32,71,96.51,32416.4,26083.06,2
Company 381,manufacturing,64069.84,6,3,19.79,5.58,100,84.31,26152.76,15054.21,3
Company 382,services,500000.0,6,3,-6.47,10.23,159,84.32,108002.0,57297.2,1
Company 383,healthcare,116730.18,6,2,5.89,29.81,39,56.82,39901.23,28309.78,5
Company 384,manufacturing,138634.86,6,1,-5.29,21.52,379,88.44,56149.42,47727.01,3
Company 385,retail,117612.37,7,4,-1.56,28.21,277,65.4,52687.45,25811.04,6
Company 386,services,195549.67,7,2,22.83,30.15,424,78.56,163926.58,139337.59,7
Company 387,healthcare,51428.24,3,1,6.24,33.26,432,102.51,46586.54,39598.56,3
Company 388,services,11570.23,5,2,-1.71,6.9,180,97.88,27551.28,19756.55,3
Company 389,technology,51489.39,5,4,-8.74,28.98,410,62.83,67931.5,15283.56,2
Company 390,services,114621.26,5,2,-17.46,26.26,40,90.52,65481.84,55659.56,1
Company 391,manufacturing,27561.07,5,4,-10.02,11.21,220,55.72,40817.23,16832.26,1
Company 392,technology,51995.23,6,2,6.34,32.95,336,51.47,53595.14,42392.68,6
Company 393,manufacturing,34426.58,5,4,16.76,17.13,238,51.55,61787.64,19176.22,4
Company 394,healthcare,199112.13,4,3,-1.72,31.63,372,59.36,114105.17,50535.4,1
Company 395,technology,109050.42,5,1,23.85,23.15,430,88.22,101524.47,86295.8,5
Company 396,manufacturing,100834.16,7,3,-3.61,20.8,217,69.98,67493.29,44200.73,3
Company 397,services,98447.73,4,2,2.14,9.79,144,50.88,45138.57,32755.83,1
Company 398,retail,58116.25,3,1,-7.95,32.43,295,104.34,46044.13,39137.51,1
Company 399,manufacturing,70125.73,7,3,16.89,21.7,435,79.34,58221.48,38384.55,5
Company 400,retail,23198.72,3,1,30.17,5.18,493,71.66,45984.66,39086.96,2
Company 401,retail,10413.38,6,3,-16.14,5.55,409,78.54,61760.62,43376.02,1
Company 402,services,67512.29,7,4,0.85,28.33,130,78.6,41705.67,13816.08,6
Company 403,healthcare,77589.87,4,1,20.18,9.86,110,75.86,46933.3,39893.31,1
Company 404,technology,157536.37,4,2,-12.36,22.96,290,83.71,109949.09,86157.05,1
Company 405,services,210463.74,4,3,11.8,25.43,207,98.71,52922.67,27999.77,3
Company 406,services,210238.69,3,1,19.66,13.38,309,66.59,132520.39,112642.33,3
Company 407,retail,26945.76,3,2,5.94,22.08,462,76.78,92519.1,78641.23,3
Company 408,services,45169.98,3,2,11.6,12.21,279,50.2,62014.9,52712.67,1
Company 409,technology,87927.46,5,1,26.13,33.39,184,97.29,43341.65,36840.4,5
Company 410,services,453850.78,5,4,28.38,30.81,435,66.82,243015.02,73753.03,4
Company 411,healthcare,195649.36,3,2,4.26,13.64,225,64.92,82111.72,63987.6,2
Company 412,healthcare,146608.01,7,4,-1.39,20.86,306,104.86,93877.82,28721.38,4
Company 413,technology,43904.39,6,3,-6.04,20.02,76,82.14,43018.02,29137.29,6
Company 414,services,29538.22,3,4,16.72,33.8,258,56.77,36934.3,15519.12,2
Company 415,technology,112547.01,7,4,-11.46,16.82,218,64.6,51407.32,17102.09,5
Company 416,technology,24821.64,3,3,1.97,21.87,70,69.43,23509.43,11422.81,2
Company 417,technology,49476.39,5,2,6.23,32.86,113,104.23,34818.28,29595.54,4
Company 418,healthcare,54621.22,5,2,-1.04,9.88,354,73.68,59703.2,47221.33,1
Company 419,technology,214128.09,5,4,8.36,21.51,98,62.66,102143.69,33665.19,5
Company 420,services,45082.17,7,2,35.77,8.17,74,81.34,27678.16,23526.43,5
Company 421,healthcare,10000.0,7,3,3.54,23.52,38,72.26,7070.6,3671.09,7
Company 422,technology,89639.89,4,1,-0.22,15.97,23,53.02,64597.99,54908.29,3
Company 423,technology,34227.43,5,4,17.18,34.03,222,97.35,42790.74,13758.9,5
Company 424,technology,61951.36,7,3,7.88,17.46,249,50.86,37388.12,16999.42,1
Company 425,manufacturing,55861.81,6,2,22.27,9.09,315,99.42,60681.67,48864.45,3
Company 426,services,48099.97,7,3,6.98,30.02,290,93.55,51765.68,25831.72,7
Company 427,technology,112676.08,5,2,2.02,29.63,273,54.17,102149.49,75012.69,4
Company 428,services,17565.78,4,1,-16.4,25.85,499,89.8,87631.21,74486.53,2
Company 429,technology,39592.25,5,4,-14.44,27.46,132,92.4,38436.46,11263.21,1
Company 430,services,103490.01,7,4,-17.03,12.94,359,83.13,70162.97,19146.55,2
Company 431,services,36634.0,7,4,9.55,24.26,49,81.77,25136.68,9043.6,6
Company 432,healthcare,16530.37,6,2,-11.35,6.14,425,52.73,84770.98,65066.18,3
Company 433,healthcare,102216.08,6,2,20.07,10.91,187,53.27,39164.53,30698.75,5
Company 434,services,147042.32,5,1,5.36,32.97,179,90.0,104257.32,88618.72,4
Company 435,technology,57757.23,4,3,2.07,27.18,76,55.81,43237.89,23675.13,4
Company 436,technology,12473.02,5,2,-5.13,11.92,259,63.3,22865.0,18941.27,1
Company 437,technology,105321.81,5,4,12.47,8.34,205,77.44,92823.78,36897.45,2
Company 438,manufacturing,15868.47,7,4,-4.65,33.47,487,59.03,35728.27,11967.95,2
Company 439,healthcare,76652.65,5,1,-6.82,8.37,97,93.44,36044.95,30638.21,3
Company 440,manufacturing,29437.63,6,4,19.26,12.71,214,94.41,57012.75,19478.74,3
Company 441,services,23673.9,3,1,9.26,10.48,451,96.32,51462.07,43742.76,3
Company 442,technology,42044.0,6,2,2.18,5.22,405,52.73,83394.4,61134.65,2
Company 443,healthcare,51707.7,5,2,12.7,14.42,384,73.53,45058.68,33364.29,3
Company 444,technology,35761.72,7,4,5.11,34.23,267,96.58,47558.26,16234.19,6
Company 445,retail,95890.54,5,3,9.6,15.26,437,69.98,91155.28,36667.0,2
Company 446,healthcare,41904.33,5,4,-4.8,20.13,119,88.27,33376.95,15342.91,1
Company 447,services,131157.31,3,3,29.84,27.38,406,82.41,120106.53,88022.31,3
Company 448,manufacturing,74977.14,7,4,-1.96,21.53,294,69.1,51606.24,18249.41,5
Company 449,technology,34267.55,6,4,23.67,27.31,181,65.2,42564.29,16737.87,6
Company 450,manufacturing,29948.91,7,4,2.73,24.85,116,85.9,26267.62,11202.74,7
Company 451,technology,16026.57,3,2,14.69,23.26,265,57.35,45603.67,30738.08,3
Company 452,services,75552.76,4,2,13.81,24.49,11,97.31,33562.65,28528.25,3
Company 453,healthcare,45086.13,7,4,18.76,28.97,360,81.7,59155.42,18094.74,6
Company 454,technology,10000.0,3,4,-5.09,26.31,125,56.13,26069.33,13640.98,1
Company 455,technology,39004.34,5,4,17.91,28.75,200,88.69,59189.32,19232.93,4
Company 456,technology,29119.78,5,3,27.16,9.37,104,73.71,21869.97,13836.14,3
Company 457,services,211196.04,7,4,1.9,25.33,238,61.22,112548.68,36660.14,2
Company 458,manufacturing,15333.22,7,3,5.42,27.11,191,102.86,25828.69,19003.08,7
Company 459,healthcare,18900.04,7,3,-1.28,14.0,101,89.58,16990.68,8818.36,5
Company 460,manufacturing,145506.45,4,1,0.84,31.24,445,82.61,155148.53,131876.25,4
Company 461,manufacturing,177266.68,5,3,25.54,14.14,382,96.69,50961.75,31093.51,5
Company 462,technology,32991.78,6,3,-7.05,12.31,200,79.91,44841.76,26561.79,4
Company 463,services,36110.22,7,4,-6.31,31.01,38,74.28,20961.17,7510.82,3
Company 464,retail,98026.03,3,4,24.33,12.41,424,60.42,107810.47,30902.68,2
Company 465,manufacturing,10000.0,7,2,12.49,17.47,351,58.44,51802.77,29688.97,2
Company 466,healthcare,13508.1,4,2,30.44,16.04,282,73.76,56000.05,47600.04,4
Company 467,manufacturing,47830.24,3,4,-0.41,31.94,306,75.08,64668.68,19458.35,1
Company 468,services,206883.78,6,4,6.52,18.66,13,90.33,39397.88,17081.66,5
Company 469,technology,42252.38,6,1,-2.93,25.83,242,74.31,43086.04,36623.13,2
Company 470,manufacturing,64909.51,3,2,6.72,28.82,102,82.62,40322.87,34274.44,2
Company 471,retail,148305.77,3,4,-16.29,23.84,329,95.79,68739.74,27781.26,1
Company 472,manufacturing,323032.36,7,1,13.22,33.31,466,104.63,147390.36,118328.58,6
Company 473,technology,37741.71,7,4,8.88,29.08,270,67.74,53192.41,20702.04,6
Company 474,technology,59073.08,3,1,4.31,17.01,306,99.61,84851.94,72124.15,3
Company 475,retail,257208.98,7,1,0.32,33.52,337,94.33,133618.62,113575.82,6
Company 476,retail,17716.3,7,4,-5.74,20.74,465,53.74,53109.51,20569.13,1
Company 477,retail,136225.22,7,3,13.73,5.68,28,68.38,46637.23,28366.51,1
Company 478,manufacturing,26511.86,4,3,-9.05,12.8,161,62.05,24913.98,13409.21,2
Company 479,manufacturing,64989.3,5,4,11.14,23.65,141,86.54,54189.21,14468.06,5
Company 480,retail,49311.11,7,2,29.89,9.7,361,80.54,55300.97,41219.63,3
Company 481,retail,27822.23,7,3,22.83,22.52,229,77.22,22015.65,9158.7,7
Company 482,technology,27269.35,6,3,-13.06,15.85,388,92.0,41576.73,21319.4,3
Company 483,manufacturing,74692.24,3,3,-1.44,21.03,241,68.33,70512.12,31227.51,1
Company 484,retail,132777.68,3,2,10.06,5.06,488,71.05,84634.69,56280.44,1
Company 485,technology,53971.48,4,3,4.16,30.45,385,97.61,92530.88,52679.52,3
Company 486,retail,63328.49,3,2,-11.79,15.86,18,103.47,35908.92,29543.13,2
Company 487,manufacturing,94555.22,3,3,9.62,9.2,494,92.7,66452.07,37044.14,2
Company 488,technology,27521.01,3,4,4.88,18.14,476,61.94,62262.93,18684.9,3
Company 489,manufacturing,108201.88,6,2,27.97,19.59,31,56.2,50461.37,35535.26,2
Company 490,manufacturing,115320.96,5,3,1.96,24.12,201,61.51,78286.74,41854.01,4
Company 491,healthcare,480653.08,5,4,19.02,20.74,485,73.25,152345.98,41776.64,4
Company 492,manufacturing,44316.69,7,4,-10.21,6.31,420,63.02,40937.89,13713.11,2
Company 493,healthcare,41503.56,5,4,-7.34,31.15,239,99.56,51462.83,11233.17,3
Company 494,retail,110765.73,5,3,13.66,18.7,276,86.89,54343.31,33481.21,1
Company 495,healthcare,115298.92,4,2,18.0,7.31,24,72.92,67964.62,49929.36,4
Company 496,manufacturing,39023.93,5,4,-6.49,28.18,286,65.06,29849.17,11047.2,1
Company 497,retail,43367.69,3,3,5.29,24.8,336,70.94,30133.37,19013.49,3
Company 498,manufacturing,92309.72,5,1,-11.58,24.48,186,76.18,67120.58,57052.5,3
Company 499,retail,30882.12,7,2,2.83,17.81,160,89.26,32988.63,27840.1,2
Company 500,manufacturing,43112.7,5,2,15.04,17.31,415,54.91,80774.49,49649.57,4
Company 501,healthcare,64323.11,4,4,-0.22,21.09,229,96.69,51296.04,15418.12,4
Company 502,services,132820.11,6,1,2.01,6.52,139,57.02,31072.31,26411.46,3
Company 503,services,36913.08,7,3,-8.56,13.97,193,64.43,40103.0,24091.41,2
Company 504,manufacturing,13712.9,5,3,-2.78,34.64,251,104.65,17002.45,12035.65,3
Company 505,manufacturing,12922.46,4,1,26.1,24.87,137,60.46,21390.79,18182.17,3
Company 506,healthcare,21861.22,6,3,5.88,17.57,284,55.56,42961.24,25087.97,5
Company 507,retail,20941.03,3,4,-7.03,11.67,431,85.11,39930.77,12771.53,1
Company 508,services,52908.08,7,3,1.22,27.36,373,71.62,74118.04,35823.09,6
Company 509,manufacturing,23130.23,4,3,-14.17,12.81,123,55.05,17741.75,9260.04,1
Company 510,technology,34125.36,4,2,-7.17,9.87,241,50.21,45069.79,33682.46,2
Company 511,technology,32232.52,6,1,21.32,9.64,276,54.35,43599.92,37059.93,3
Company 512,services,42091.19,3,1,3.29,26.88,343,78.75,51224.89,43541.16,3
Company 513,technology,172474.29,4,2,27.69,24.28,380,62.7,143710.65,116711.17,1
Company 514,retail,101677.17,3,3,3.86,7.09,247,92.77,55905.56,38895.24,1
Company 515,retail,60651.74,4,1,4.57,8.45,164,97.16,52816.93,44894.39,2
Company 516,technology,41405.91,5,4,12.69,24.02,333,57.97,65345.07,20531.84,5
Company 517,retail,42336.88,3,3,-27.07,22.13,71,68.54,20847.72,13365.94,1
Company 518,healthcare,77823.38,4,2,7.46,25.58,340,58.06,78480.6,63391.3,4
Company 519,technology,95543.34,6,4,4.41,10.34,449,65.77,55633.13,18734.1,4
Company 520,services,28966.81,7,1,22.83,26.8,357,63.16,45713.62,38856.58,5
Company 521,services,61647.29,3,4,16.58,33.08,222,93.28,63031.45,20422.49,3
Company 522,retail,11786.43,6,2,-8.6,23.03,413,69.0,50083.57,41673.81,1
Company 523,technology,70924.49,3,2,19.91,10.88,270,77.26,72157.57,57089.17,1
Company 524,manufacturing,110163.33,5,2,1.85,25.39,274,87.06,109887.39,79308.6,5
Company 525,technology,47855.68,7,4,-5.85,15.29,427,95.22,34427.72,9565.81,2
Company 526,retail,256073.96,6,2,7.37,6.48,104,66.57,112064.42,90152.72,2
Company 527,services,29584.6,4,4,2.57,14.07,392,61.51,57954.34,21691.85,1
Company 528,services,71250.16,4,2,23.46,32.17,343,103.81,66721.17,50371.11,3
Company 529,healthcare,58182.52,6,2,9.09,17.33,269,67.61,78264.7,53958.78,6
Company 530,retail,55257.64,7,3,7.47,30.94,47,86.91,22328.15,14738.3,6
Company 531,healthcare,54641.13,4,3,15.81,20.26,385,87.28,69467.59,44673.8,4
Company 532,healthcare,65230.6,3,2,18.11,20.51,117,78.27,53403.12,33163.86,2
Company 533,retail,117991.4,5,1,14.4,5.16,448,62.56,92390.61,78532.01,3
Company 534,manufacturing,180266.03,6,2,22.03,24.11,398,57.78,107651.58,82168.51,5
Company 535,technology,59766.45,5,3,12.3,8.23,188,76.79,68615.2,39467.39,2
Company 536,technology,114950.04,7,1,7.01,19.36,223,78.1,78853.39,67025.38,5
Company 537,manufacturing,34152.34,7,1,19.87,12.81,22,92.54,8703.5,7397.97,5
Company 538,technology,110499.29,6,4,3.91,16.77,254,89.04,60421.11,25390.72,5
Company 539,technology,32545.9,3,1,5.4,21.11,38,100.16,26977.38,22930.77,2
Company 540,services,143275.98,7,2,25.66,5.43,493,103.4,79263.92,53102.76,3
Company 541,services,350989.89,6,4,24.46,13.54,323,90.03,80179.56,14264.06,4
Company 542,manufacturing,54302.9,4,2,4.9,34.69,125,54.21,40152.81,34129.89,3
Company 543,services,10362.67,5,2,-0.44,6.72,403,72.28,43971.61,37375.87,1
Company 544,services,38620.62,7,1,22.56,14.58,19,83.48,8078.81,6866.99,4
Company 545,technology,160411.89,7,4,14.61,14.64,279,82.46,102265.88,32563.26,7
Company 546,retail,93196.13,5,3,8.79,16.38,64,59.98,47154.47,24304.3,5
Company 547,retail,73066.91,3,4,1.14,25.54,36,82.06,32813.01,9623.66,3
Company 548,technology,134179.63,6,4,8.98,12.43,129,69.23,107527.71,45806.47,6
Company 549,healthcare,88217.69,6,2,4.74,18.81,154,68.64,40488.98,32288.74,1
Company 550,retail,158606.27,3,1,-2.97,24.35,365,95.87,78360.4,66606.34,1
Company 551,manufacturing,124933.76,7,2,6.55,14.67,446,73.21,127211.85,108130.08,4
Company 552,technology,202270.33,4,1,8.19,33.46,390,79.01,134712.9,114505.96,3
Company 553,technology,79780.7,7,3,0.5,34.39,372,80.96,89749.43,54193.66,6
Company 554,services,123526.07,5,1,15.85,8.59,287,80.96,61856.42,52577.96,2
Company 555,technology,46830.89,4,4,20.47,15.31,191,61.72,28787.17,9425.07,2
Company 556,technology,37005.85,3,3,16.64,11.24,134,82.97,30151.09,17243.14,2
Company 557,retail,234547.67,3,2,1.69,10.6,473,68.4,161949.16,137262.87,1
Company 558,manufacturing,71179.76,6,4,14.07,19.73,265,86.03,70441.61,22478.3,2
Company 559,manufacturing,113994.38,4,4,5.94,21.91,286,58.01,91758.86,28504.35,3
Company 560,manufacturing,66104.49,7,2,-9.83,17.77,17,104.68,16339.87,12380.28,4
Company 561,technology,37450.95,4,1,13.07,13.18,234,92.46,66328.42,56379.16,2
Company 562,technology,60402.53,7,2,6.75,13.36,344,72.95,78763.73,65419.96,2
Company 563,services,188866.41,7,3,36.12,34.76,252,66.57,138187.4,80495.09,7
Company 564,manufacturing,93357.55,3,4,22.49,32.71,311,71.33,76819.76,28793.08,2
Company 565,manufacturing,15226.94,6,2,13.53,7.28,406,89.67,39011.06,30211.59,2
Company 566,healthcare,50402.92,7,3,7.99,24.7,20,86.05,19303.55,10512.13,7
Company 567,healthcare,249156.14,4,2,6.96,18.71,453,88.62,182299.62,154954.68,2
Company 568,technology,50461.33,3,1,-7.04,25.66,410,98.89,117847.31,100170.21,1
Company 569,retail,14180.41,7,2,-15.87,22.91,215,75.1,24104.86,20489.13,4
Company 570,manufacturing,272239.95,5,1,-5.47,31.68,384,86.82,166346.63,141394.64,2
Company 571,retail,103353.87,3,2,4.43,7.01,42,74.28,57895.4,49211.09,1
Company 572,services,56612.76,7,2,-20.27,15.49,161,85.1,36826.4,27498.77,5
Company 573,manufacturing,44483.15,6,2,-1.53,34.56,62,76.12,19830.36,15149.04,1
Company 574,healthcare,142326.86,3,4,2.03,10.47,321,92.72,79114.25,34462.8,2
Company 575,services,38809.23,4,2,2.41,8.82,429,50.29,45433.42,38503.63,1
Company 576,manufacturing,150032.19,3,3,-2.94,26.87,304,61.86,112446.15,60357.04,3
Company 577,services,92388.36,7,3,0.9,28.32,358,66.3,90508.4,43109.09,6
Company 578,manufacturing,72819.97,3,3,25.69,25.17,80,102.0,25951.76,14109.53,3
Company 579,services,67266.11,6,2,12.95,28.29,467,77.89,98066.02,71118.51,5
Company 580,retail,52053.41,5,4,-1.72,25.81,104,70.04,25014.39,11955.88,1
Company 581,manufacturing,138207.59,5,1,4.18,9.07,267,72.24,71121.92,60453.63,1
Company 582,manufacturing,29963.21,7,2,4.66,23.25,344,74.85,44833.55,32223.05,7
Company 583,technology,16357.8,7,4,-4.22,28.31,429,97.73,26729.34,6853.42,5
Company 584,retail,97885.34,3,2,-4.23,30.97,467,102.93,121360.05,87104.35,3
Company 585,services,99209.66,3,3,17.13,12.39,303,96.43,45863.63,23633.25,1
Company 586,manufacturing,87920.91,3,1,-0.04,8.82,292,96.29,46754.67,39741.47,2
Company 587,technology,82965.71,6,3,-8.14,28.43,214,60.95,82131.77,53316.96,1
Company 588,retail,46331.05,5,4,4.48,12.7,288,64.78,39764.22,10445.21,5
Company 589,technology,112418.77,3,3,6.42,5.96,340,82.78,77780.56,57803.63,1
Company 590,technology,57731.23,4,3,-18.67,29.76,326,86.09,85811.79,41578.9,1
Company 591,services,40550.73,5,4,4.51,20.18,300,61.15,24098.95,5477.12,4
Company 592,retail,46652.74,6,2,15.42,14.8,225,91.05,35976.95,30580.41,3
Company 593,retail,301495.92,4,2,10.41,5.34,105,61.0,66371.4,56415.69,1
Company 594,manufacturing,14943.31,7,1,31.76,6.06,36,64.47,9768.55,8303.27,4
Company 595,technology,89306.58,7,3,20.01,28.78,216,66.87,66811.0,39452.34,6
Company 596,retail,15626.32,6,3,22.39,19.69,204,96.53,37529.12,22236.96,6
Company 597,healthcare,54907.94,5,4,38.6,9.49,307,90.26,73716.75,25869.94,3
Company 598,manufacturing,42323.51,7,3,14.1,15.76,451,79.19,36646.07,16720.93,1
Company 599,services,11293.44,6,1,6.96,9.96,353,95.09,52943.62,42431.28,2
Company 600,manufacturing,81734.39,5,3,16.68,8.39,404,94.71,41762.26,20564.65,3
Company 601,manufacturing,44177.44,5,4,-1.71,13.29,293,71.44,78593.72,38140.93,1
Company 602,healthcare,11166.07,7,1,6.29,21.49,464,92.98,91828.79,78054.47,6
Company 603,services,117202.03,5,2,-2.77,11.3,470,61.34,64078.23,48638.77,4
Company 604,healthcare,188717.21,3,4,9.78,15.31,84,77.68,94485.86,24884.07,3
Company 605,services,197224.8,7,2,-2.82,19.34,323,56.5,81132.73,65088.71,6
Company 606,healthcare,79790.93,3,4,-3.24,17.6,257,73.47,60423.83,22666.1,2
Company 607,services,62121.44,6,3,9.96,8.86,486,78.62,77625.46,47200.75,3
Company 608,technology,173255.96,6,3,3.35,6.17,296,54.4,139014.9,49744.77,2
Company 609,healthcare,230016.63,5,3,-18.13,6.06,17,75.44,147050.78,119496.48,1
Company 610,retail,148279.6,3,3,-12.47,15.51,112,85.84,35183.52,22890.33,2
Company 611,manufacturing,28191.33,5,4,-8.77,26.56,73,83.77,21129.15,6849.46,2
Company 612,healthcare,70338.59,7,4,-5.6,8.94,108,52.99,44619.15,12605.88,5
Company 613,services,85102.6,4,2,9.97,28.61,56,55.24,49166.38,41791.42,4
Company 614,services,14077.13,6,4,7.63,26.47,393,69.32,65530.85,24877.58,5
Company 615,retail,87158.93,7,3,17.78,5.12,252,96.35,70108.98,39777.86,4
Company 616,healthcare,368941.53,7,3,14.03,5.8,339,97.84,120998.44,72195.75,4
Company 617,healthcare,99902.39,5,2,17.86,10.85,499,67.03,80635.41,62168.48,5
Company 618,retail,194605.65,4,2,12.3,6.68,327,89.54,103117.53,83746.79,2
Company 619,technology,69309.12,6,3,7.52,20.94,244,81.76,68273.14,42200.25,6
Company 620,technology,56467.77,5,2,18.19,6.19,140,104.09,35061.98,28311.33,2
Company 621,healthcare,81228.15,6,2,16.03,29.08,379,55.21,102380.26,82239.37,5
Company 622,manufacturing,31173.97,6,4,9.51,19.79,258,80.13,21592.34,9747.4,6
Company 623,services,27694.24,6,2,20.25,26.84,380,82.59,78737.35,51354.97,5
Company 624,manufacturing,164891.61,4,3,-23.15,27.52,21,66.92,83629.91,41494.6,2
Company 625,services,179489.84,6,1,1.51,20.2,89,52.58,98204.13,83473.51,6
Company 626,retail,27095.28,5,1,1.33,32.76,73,52.87,20755.82,17642.45,4
Company 627,healthcare,129884.26,7,4,18.83,34.71,343,74.95,84702.7,26115.31,7
Company 628,technology,55850.4,6,1,23.86,15.78,263,88.09,72046.15,61239.23,1
Company 629,manufacturing,78577.99,7,4,-12.4,8.78,165,88.51,43601.54,14304.89,4
