companyName,industry,totalTransactions,transactionVolume,dataQuality,numSources,daysSinceLastRecon,automationLevel,numAccounts,prevErrorRate,matchedTransactions,unmatchedTransactions,reconciliationStatus
Company 340,services,261,51949.01,67.82,2,82,27.95,25,5.55,210,51,partial
Company 341,technology,44,44278.11,66.02,5,19,73.02,9,2.34,40,4,partial
Company 342,services,220,12920.2,64.7,5,24,66.91,7,0.16,192,28,partial
Company 343,services,244,24207.33,58.73,6,37,58.03,18,2.16,203,41,successful
Company 344,manufacturing,143,129168.73,59.54,2,13,83.38,14,1.71,130,13,failed
Company 345,healthcare,199,11070.5,81.27,6,72,76.66,7,3.42,181,18,partial
Company 346,healthcare,261,32433.52,42.45,2,63,66.78,16,7.28,206,55,failed
Company 347,services,43,43487.29,80.91,3,14,66.5,42,3.14,39,4,partial
Company 348,retail,92,241565.88,52.07,3,15,66.29,36,6.01,78,14,partial
Company 349,manufacturing,388,110733.65,63.05,7,2,54.64,12,6.21,331,57,partial
Company 350,technology,188,38340.56,48.79,3,85,49.43,34,3.63,158,30,partial
Company 351,manufacturing,312,170009.73,73.17,6,39,70.32,24,2.63,281,31,partial
Company 352,technology,291,33109.89,83.76,7,59,61.89,38,0.1,261,30,partial
Company 353,manufacturing,284,134225.95,61.28,7,14,51.65,14,1.94,237,47,partial
Company 354,manufacturing,218,20189.1,49.8,3,21,20.77,5,0.7,181,37,partial
Company 355,manufacturing,251,141295.15,53.59,2,49,69.66,17,1.24,208,43,partial
Company 356,manufacturing,415,43264.73,89.09,3,19,64.91,49,0.86,378,37,partial
Company 357,healthcare,483,26296.64,56.06,6,55,39.09,29,5.29,404,79,partial
Company 358,healthcare,143,50326.4,86.48,3,83,40.29,5,0.1,126,17,partial
Company 359,manufacturing,341,74747.82,59.87,5,28,30.97,48,2.67,258,83,failed
Company 360,manufacturing,485,40303.81,51.32,4,55,91.76,41,0.1,417,68,partial
Company 361,services,23,93261.51,83.64,6,82,83.12,28,6.89,21,2,partial
Company 362,technology,396,37556.62,68.11,5,80,57.69,37,13.18,325,71,partial
Company 363,technology,258,98350.99,41.88,5,1,44.14,11,1.46,214,44,partial
Company 364,technology,484,85287.03,97.6,6,10,72.63,30,10.31,432,52,partial
Company 365,healthcare,297,57025.94,48.87,7,88,54.86,45,0.1,213,84,failed
Company 366,retail,422,42061.75,61.2,4,83,92.95,23,4.46,352,70,partial
Company 367,healthcare,99,67591.17,63.09,5,29,14.69,4,3.97,82,17,partial
Company 368,healthcare,88,92985.89,69.37,5,47,12.91,38,7.47,63,25,failed
Company 369,retail,464,311588.7,87.13,6,51,58.33,37,0.27,408,56,partial
Company 370,services,272,126948.44,40.37,4,60,27.28,37,0.1,195,77,failed
Company 371,healthcare,288,130717.26,95.95,4,67,61.37,33,6.49,259,29,partial
Company 372,retail,101,500000.0,78.76,7,34,76.42,9,1.02,98,3,successful
Company 373,retail,128,90469.38,97.04,7,80,21.74,8,9.79,109,19,failed
Company 374,retail,412,88231.1,89.04,5,6,47.45,40,7.37,374,38,partial
Company 375,technology,165,105157.24,95.67,2,3,68.54,43,0.88,162,3,successful
Company 376,technology,300,26710.91,76.06,3,86,80.88,6,3.99,264,36,failed
Company 377,services,171,41977.07,61.44,4,16,52.19,30,0.54,147,24,partial
Company 378,retail,146,39937.24,66.57,6,89,27.52,26,0.65,122,24,partial
Company 379,retail,99,100517.91,79.48,6,26,59.79,19,10.97,89,10,partial
Company 380,healthcare,466,52086.46,65.62,6,33,48.63,33,4.19,403,63,partial
Company 381,manufacturing,471,66874.88,83.9,2,3,75.61,45,7.55,436,35,partial
Company 382,services,75,142909.05,45.51,4,85,57.22,41,1.18,59,16,partial
Company 383,healthcare,189,119434.17,89.8,6,32,33.75,10,2.27,174,15,partial
Company 384,manufacturing,290,52607.99,52.25,7,15,74.12,24,3.36,248,42,partial
Company 385,retail,203,35031.53,96.64,2,44,54.01,46,2.82,194,9,successful
Company 386,services,366,148482.11,49.33,7,14,25.09,14,5.11,284,82,failed
Company 387,healthcare,144,111203.03,47.75,2,71,57.86,43,1.47,123,21,partial
Company 388,services,48,16564.13,88.71,3,7,90.61,26,7.55,46,2,partial
Company 389,technology,181,46605.64,89.12,7,45,69.97,27,1.14,162,19,failed
Company 390,services,306,68351.06,84.33,6,35,35.4,14,1.51,275,31,partial
Company 391,manufacturing,106,111643.25,97.63,7,4,70.42,46,6.08,99,7,successful
Company 392,technology,411,124005.5,56.23,5,5,34.02,27,1.73,346,65,partial
Company 393,manufacturing,25,75141.24,89.6,5,47,56.13,30,2.88,22,3,partial
Company 394,healthcare,52,95625.81,61.12,5,36,54.76,24,2.67,44,8,successful
Company 395,technology,264,63026.43,72.24,5,12,31.03,7,0.89,236,28,partial
Company 396,manufacturing,265,34923.62,66.74,5,13,39.57,39,0.35,233,32,failed
Company 397,services,161,48581.03,40.35,3,72,90.09,18,3.65,127,34,failed
Company 398,retail,144,60790.75,74.47,7,66,31.3,14,2.42,116,28,partial
Company 399,manufacturing,53,58235.86,84.85,4,55,78.09,39,4.18,49,4,partial
Company 400,retail,338,13247.2,50.47,5,75,66.73,12,0.25,283,55,partial
Company 401,retail,201,43565.17,95.9,6,7,55.27,35,2.2,185,16,partial
Company 402,services,76,62627.8,71.82,5,62,21.69,25,0.68,67,9,partial
Company 403,healthcare,211,47805.88,50.69,5,67,27.39,40,1.95,172,39,partial
Company 404,technology,469,49145.52,78.76,2,18,25.21,5,1.02,400,69,partial
Company 405,services,145,88467.73,51.52,3,48,59.88,39,0.64,118,27,partial
Company 406,services,449,25256.38,43.81,4,69,92.74,13,0.13,375,74,partial
Company 407,retail,144,16277.94,81.12,4,54,84.57,43,0.84,130,14,partial
Company 408,services,109,45318.21,46.64,7,23,12.15,19,5.99,90,19,partial
Company 409,technology,145,110336.66,46.37,7,60,33.27,3,0.6,119,26,partial
Company 410,services,175,230969.84,84.4,6,68,23.37,25,2.62,149,26,partial
Company 411,healthcare,77,111938.24,43.31,4,1,92.93,5,7.92,68,9,partial
Company 412,healthcare,302,18497.47,88.59,2,51,30.03,15,6.47,270,32,partial
Company 413,technology,180,49717.2,87.77,6,45,27.11,36,0.96,158,22,partial
Company 414,services,364,73519.61,48.48,7,33,62.77,29,1.06,310,54,partial
Company 415,technology,255,69014.57,71.1,4,4,57.28,36,0.18,233,22,partial
Company 416,technology,232,92174.95,45.8,6,8,29.2,44,4.64,191,41,partial
Company 417,technology,246,28749.07,77.95,7,67,66.98,24,6.26,210,36,partial
Company 418,healthcare,95,63067.1,43.78,5,74,18.25,28,4.29,70,25,failed
Company 419,technology,362,83805.86,96.67,3,38,11.65,5,1.58,316,46,successful
Company 420,services,69,115906.23,52.46,2,84,17.01,16,0.84,52,17,failed
Company 421,healthcare,366,31427.09,80.97,6,83,41.01,37,8.6,293,73,partial
Company 422,technology,499,45427.57,47.7,5,60,92.88,5,1.02,436,63,partial
Company 423,technology,386,10000.0,52.58,2,52,56.52,19,0.1,325,61,partial
Company 424,technology,238,36418.44,67.06,2,86,74.15,9,0.1,195,43,partial
Company 425,manufacturing,170,39358.53,74.39,7,55,37.33,43,2.89,143,27,partial
Company 426,services,438,26484.96,99.93,3,84,71.14,29,18.96,390,48,failed
Company 427,technology,143,68356.35,41.56,3,88,92.13,33,4.8,118,25,partial
Company 428,services,251,57253.48,40.02,5,18,40.41,35,3.54,194,57,failed
Company 429,technology,390,10000.0,61.02,4,59,94.92,13,4.93,326,64,partial
Company 430,services,462,71140.09,61.97,7,66,64.26,5,1.68,399,63,partial
Company 431,services,462,28490.92,93.03,6,73,73.63,21,1.53,402,60,partial
Company 432,healthcare,62,88304.93,94.75,4,32,31.43,11,2.67,55,7,partial
Company 433,healthcare,451,21472.3,92.83,3,77,64.66,18,5.58,401,50,partial
Company 434,services,74,61328.82,48.59,7,44,53.44,17,0.93,61,13,failed
Company 435,technology,300,47737.35,64.73,5,35,91.29,39,0.49,272,28,partial
Company 436,technology,466,76304.07,84.75,7,14,86.9,18,7.9,459,7,partial
Company 437,technology,334,66155.14,58.76,4,29,43.72,10,1.25,266,68,failed
Company 438,manufacturing,474,48818.7,79.79,2,87,90.48,48,0.32,440,34,partial
Company 439,healthcare,185,17517.96,54.23,7,64,85.21,5,2.78,144,41,partial
Company 440,manufacturing,171,18365.58,59.41,3,65,60.18,12,5.81,150,21,partial
Company 441,services,176,37529.8,91.63,7,80,16.98,19,1.59,139,37,successful
Company 442,technology,190,59478.85,55.03,6,24,23.67,5,5.29,168,22,partial
Company 443,healthcare,347,36805.47,97.86,3,59,16.53,45,0.1,301,46,partial
Company 444,technology,237,98732.51,58.38,6,34,19.18,19,0.26,203,34,partial
Company 445,retail,373,47888.15,41.41,2,76,93.04,39,1.53,322,51,partial
Company 446,healthcare,219,27666.84,55.29,4,38,28.03,9,1.4,176,43,partial
Company 447,services,167,47931.25,50.27,4,77,68.72,27,3.69,135,32,partial
Company 448,manufacturing,111,71731.69,70.41,5,67,64.1,8,5.66,93,18,partial
Company 449,technology,284,77645.41,46.76,5,69,63.65,13,3.55,238,46,partial
Company 450,manufacturing,451,269063.67,77.56,5,83,27.57,22,1.29,371,80,partial
Company 451,technology,432,35061.98,92.49,4,71,59.24,43,0.43,380,52,partial
Company 452,services,141,56456.01,61.75,6,29,63.17,17,0.86,125,16,partial
Company 453,healthcare,249,84195.7,50.11,2,47,58.48,38,6.23,198,51,failed
Company 454,technology,358,58762.64,64.0,6,43,25.82,7,0.9,293,65,partial
Company 455,technology,313,40114.99,87.16,2,6,71.46,14,9.44,292,21,partial
Company 456,technology,52,17336.93,75.49,2,53,16.23,31,2.79,42,10,partial
Company 457,services,303,39788.47,46.07,6,39,60.25,25,4.75,245,58,partial
Company 458,manufacturing,38,25362.78,72.23,2,36,47.08,26,1.17,35,3,partial
Company 459,healthcare,75,15043.7,68.09,6,10,31.27,34,0.54,64,11,partial
Company 460,manufacturing,333,31680.51,59.63,2,45,78.63,6,0.1,287,46,partial
Company 461,manufacturing,69,25908.51,46.61,2,52,24.95,35,3.29,54,15,failed
Company 462,technology,182,95514.11,98.87,7,10,89.3,43,0.21,181,1,successful
Company 463,services,302,96845.62,50.56,3,57,85.19,39,0.4,249,53,partial
Company 464,retail,334,29053.57,51.56,7,15,40.65,16,5.92,280,54,partial
Company 465,manufacturing,233,48621.31,48.73,4,13,35.94,19,0.68,194,39,partial
Company 466,healthcare,65,13540.03,74.21,6,36,21.69,48,0.97,52,13,partial
Company 467,manufacturing,403,40316.98,66.62,7,35,87.89,40,1.21,384,19,successful
Company 468,services,475,82387.21,54.97,2,82,63.34,46,1.38,413,62,partial
Company 469,technology,446,115838.27,65.77,3,7,12.7,45,0.63,364,82,partial
Company 470,manufacturing,379,33845.53,80.41,5,32,53.43,23,2.07,326,53,partial
Company 471,retail,213,138896.44,56.9,7,66,17.29,9,5.53,169,44,failed
Company 472,manufacturing,440,17808.77,94.91,3,23,58.77,13,12.24,385,55,partial
Company 473,technology,254,22068.31,58.38,3,88,53.26,16,2.78,218,36,partial
Company 474,technology,85,105633.36,51.89,4,67,17.04,42,4.19,65,20,failed
Company 475,retail,428,227953.51,97.27,3,85,79.35,15,0.73,417,11,successful
Company 476,retail,173,88853.62,88.63,3,85,32.3,19,0.31,145,28,partial
Company 477,retail,470,57972.62,60.59,2,10,56.03,43,2.0,407,63,partial
Company 478,manufacturing,196,10340.81,90.49,6,41,64.32,10,9.04,186,10,partial
Company 479,manufacturing,437,11873.24,71.13,6,67,91.8,34,5.45,384,53,partial
Company 480,retail,277,66405.0,60.81,2,1,51.97,28,1.01,244,33,partial
Company 481,retail,244,44960.96,90.38,5,41,87.97,49,0.86,238,6,successful
Company 482,technology,162,24719.11,85.13,5,62,40.16,26,1.94,139,23,partial
Company 483,manufacturing,421,63096.85,57.87,5,71,82.88,27,1.92,345,76,partial
Company 484,retail,49,65650.8,76.4,7,37,30.05,42,2.16,40,9,partial
Company 485,technology,245,127456.79,62.16,5,77,70.14,49,1.87,212,33,partial
Company 486,retail,197,66788.21,40.06,6,60,17.53,37,2.51,152,45,failed
Company 487,manufacturing,280,159965.83,97.71,2,5,93.81,35,6.83,279,1,partial
Company 488,technology,142,60258.28,72.98,2,25,91.08,44,1.3,130,12,partial
Company 489,manufacturing,339,54596.88,75.91,5,84,47.59,49,0.89,274,65,partial
Company 490,manufacturing,205,140287.58,75.99,7,1,54.53,37,4.97,170,35,partial
Company 491,healthcare,110,27371.22,73.04,4,10,60.81,16,3.25,108,2,successful
Company 492,manufacturing,114,500000.0,57.4,5,31,33.38,33,0.38,96,18,partial
Company 493,healthcare,354,80838.29,98.29,3,89,67.33,14,1.18,325,29,partial
Company 494,retail,145,81199.42,77.3,4,63,69.38,26,3.28,129,16,partial
Company 495,healthcare,167,91133.14,80.26,6,14,54.63,23,5.57,143,24,partial
Company 496,manufacturing,320,268796.32,67.29,5,35,22.56,49,9.75,256,64,partial
Company 497,retail,178,112871.57,57.27,2,84,88.13,29,2.35,161,17,partial
Company 498,manufacturing,206,16580.05,43.86,7,20,19.78,48,0.98,168,38,partial
Company 499,retail,137,184015.69,61.01,7,52,63.48,40,0.99,114,23,partial
Company 500,manufacturing,185,45582.66,50.57,4,42,18.76,42,2.36,140,45,failed
Company 501,healthcare,352,65233.22,79.73,4,68,22.42,10,3.27,290,62,partial
Company 502,services,276,21516.96,92.74,5,67,11.75,39,0.78,234,42,partial
Company 503,services,498,91213.81,58.17,6,75,40.89,14,2.66,435,63,partial
Company 504,manufacturing,390,35557.29,59.97,4,11,64.36,30,7.81,336,54,partial
Company 505,manufacturing,28,64869.69,80.22,2,41,54.33,25,0.81,24,4,partial
Company 506,healthcare,201,47701.63,48.96,2,62,67.34,15,2.37,166,35,partial
Company 507,retail,159,279291.2,95.77,6,38,67.38,49,1.65,150,9,partial
Company 508,services,302,292379.6,61.83,6,60,21.91,44,3.81,232,70,failed
Company 509,manufacturing,147,62144.06,46.07,6,57,14.87,29,1.96,115,32,failed
Company 510,technology,483,63018.41,50.48,2,33,63.16,3,2.73,424,59,failed
Company 511,technology,163,44411.14,95.96,3,9,65.52,11,0.65,156,7,successful
Company 512,services,270,145045.83,54.83,4,87,57.32,13,1.76,214,56,failed
Company 513,technology,78,46021.51,79.74,3,74,30.89,48,0.43,65,13,partial
Company 514,retail,456,42741.69,49.37,4,80,78.92,21,1.04,357,99,failed
Company 515,retail,457,130989.74,51.65,5,27,16.43,5,0.65,365,92,failed
Company 516,technology,400,38923.78,92.75,3,29,63.75,30,10.09,371,29,partial
Company 517,retail,188,58092.74,48.88,2,29,20.23,47,0.59,146,42,failed
Company 518,healthcare,48,16898.01,41.13,4,3,65.63,29,0.92,43,5,partial
Company 519,technology,361,105171.99,70.07,6,16,45.51,23,0.42,325,36,partial
Company 520,services,225,282856.1,91.76,5,28,71.04,11,1.48,199,26,partial
Company 521,services,495,106615.09,59.56,3,88,14.44,44,0.67,362,133,failed
Company 522,retail,355,192805.91,47.69,3,19,57.18,7,7.83,284,71,partial
Company 523,technology,278,30427.99,98.93,5,46,22.31,46,0.45,262,16,partial
Company 524,manufacturing,493,72334.71,80.6,3,49,68.0,13,3.21,455,38,partial
Company 525,technology,404,28154.77,91.04,7,33,20.2,9,3.5,375,29,partial
Company 526,retail,240,49900.56,85.13,7,82,16.25,19,3.47,201,39,partial
Company 527,services,29,111053.7,81.89,2,9,70.62,3,2.35,27,2,partial
Company 528,services,64,64955.42,63.07,7,78,15.4,3,7.09,48,16,failed
Company 529,healthcare,232,19339.16,59.46,2,67,29.09,11,2.39,190,42,partial
Company 530,retail,289,20909.87,83.02,4,28,80.1,35,2.13,266,23,partial
Company 531,healthcare,34,19832.33,83.0,6,69,78.82,41,3.08,30,4,partial
Company 532,healthcare,80,88713.03,97.04,3,39,82.6,14,1.19,80,0,successful
Company 533,retail,358,312111.45,74.12,3,87,37.72,33,4.04,296,62,partial
Company 534,manufacturing,380,178076.16,57.68,2,4,54.88,19,4.96,342,38,partial
Company 535,technology,34,13137.31,69.37,6,3,75.73,23,5.78,29,5,partial
Company 536,technology,263,186625.79,76.82,2,49,21.64,18,3.05,243,20,partial
Company 537,manufacturing,58,126642.11,65.6,4,83,71.57,44,2.54,49,9,partial
Company 538,technology,367,17391.9,87.47,4,6,18.29,27,19.7,324,43,failed
Company 539,technology,420,46978.19,75.08,7,70,87.63,26,4.09,386,34,partial
Company 540,services,437,143834.4,40.57,7,84,64.17,43,10.14,336,101,failed
Company 541,services,307,92999.26,74.19,6,44,51.93,33,4.65,274,33,partial
Company 542,manufacturing,321,21009.37,78.02,6,78,51.2,10,7.76,282,39,partial
Company 543,services,464,97596.19,94.92,5,68,25.42,11,2.73,395,69,partial
Company 544,services,313,10829.18,64.82,4,20,39.4,19,1.21,261,52,partial
Company 545,technology,234,50098.3,74.47,2,77,71.81,7,0.1,206,28,partial
Company 546,retail,382,148801.04,68.5,7,63,55.98,35,2.16,325,57,partial
Company 547,retail,303,60761.73,71.9,4,2,54.99,26,0.24,285,18,partial
Company 548,technology,424,40168.96,44.04,4,51,26.6,5,6.16,338,86,failed
Company 549,healthcare,271,121963.49,93.84,2,59,68.68,21,1.64,249,22,partial
Company 550,retail,437,130587.85,94.62,3,72,43.32,42,4.89,395,42,partial
Company 551,manufacturing,41,170762.97,72.88,5,69,25.53,45,1.49,32,9,failed
Company 552,technology,37,120508.3,73.39,4,43,90.22,48,4.26,33,4,successful
Company 553,technology,67,142215.65,43.45,5,27,53.08,46,6.74,55,12,partial
Company 554,services,286,107616.24,75.88,3,18,54.88,31,4.83,264,22,partial
Company 555,technology,360,74044.6,65.75,2,8,93.42,46,1.0,333,27,partial
Company 556,technology,123,64318.8,82.54,7,57,41.14,47,4.39,112,11,partial
Company 557,retail,94,49522.99,42.83,4,86,90.16,32,2.93,80,14,partial
Company 558,manufacturing,432,22699.66,82.65,4,8,69.07,22,1.12,395,37,partial
Company 559,manufacturing,380,27882.4,57.21,3,63,63.81,48,1.25,318,62,partial
Company 560,manufacturing,331,47781.24,79.1,5,53,29.93,22,0.79,288,43,partial
Company 561,technology,254,72632.06,77.63,5,16,14.4,10,3.94,214,40,partial
Company 562,technology,221,189595.87,53.61,4,19,47.21,7,5.27,195,26,partial
Company 563,services,29,57905.19,66.43,7,26,10.86,29,3.05,23,6,failed
Company 564,manufacturing,110,133623.45,90.14,7,61,16.04,4,9.15,94,16,partial
Company 565,manufacturing,450,141981.57,76.34,3,27,60.6,8,0.76,414,36,partial
Company 566,healthcare,182,49753.82,44.12,5,74,71.58,14,2.55,147,35,partial
Company 567,healthcare,358,96350.91,66.57,7,33,24.28,27,0.1,295,63,partial
Company 568,technology,357,49275.27,58.71,4,10,72.26,25,4.47,312,45,partial
Company 569,retail,168,172423.46,78.5,2,9,90.73,27,2.5,162,6,successful
Company 570,manufacturing,118,99575.82,76.87,2,36,73.17,26,6.47,104,14,partial
Company 571,retail,352,23100.58,40.62,6,37,76.7,49,2.71,282,70,failed
Company 572,services,64,68133.19,76.46,7,66,69.56,13,3.91,59,5,partial
Company 573,manufacturing,257,223795.89,84.09,2,43,29.1,25,5.33,225,32,partial
Company 574,healthcare,446,51793.25,86.12,5,15,40.68,31,1.52,416,30,partial
Company 575,services,361,85662.64,43.54,4,19,90.69,15,2.92,320,41,partial
Company 576,manufacturing,386,92661.01,58.22,3,51,66.2,11,4.79,352,34,partial
Company 577,services,59,26126.4,65.28,5,30,77.07,5,1.31,54,5,partial
Company 578,manufacturing,115,90090.17,50.79,7,60,92.34,18,1.65,96,19,partial
Company 579,services,152,19632.31,65.24,3,83,29.67,14,1.0,126,26,partial
Company 580,retail,160,36297.38,44.27,2,32,37.34,12,1.72,126,34,failed
Company 581,manufacturing,113,141574.08,46.79,4,50,64.81,15,0.51,92,21,partial
Company 582,manufacturing,486,79650.61,80.12,3,75,12.07,35,1.3,382,104,failed
Company 583,technology,99,46930.25,55.75,6,19,58.55,41,0.29,84,15,partial
Company 584,retail,359,85576.74,82.68,5,46,78.74,27,0.96,335,24,partial
Company 585,services,301,57063.86,42.89,2,28,61.89,6,2.29,249,52,partial
Company 586,manufacturing,313,60479.68,73.76,4,56,35.11,37,1.38,256,57,failed
Company 587,technology,123,101260.82,63.49,6,67,71.55,10,3.29,100,23,partial
Company 588,retail,167,33459.99,87.82,4,13,22.41,5,2.84,159,8,successful
Company 589,technology,311,61837.74,87.04,5,17,86.06,29,2.37,298,13,partial
Company 590,technology,163,46638.68,62.53,3,3,18.58,22,0.13,133,30,partial
Company 591,services,353,16840.08,77.36,3,2,83.4,17,7.33,332,21,partial
Company 592,retail,38,28670.83,53.65,2,5,52.31,48,1.44,35,3,partial
Company 593,retail,54,209937.5,74.82,2,63,46.43,7,2.99,47,7,successful
Company 594,manufacturing,369,81452.77,44.88,2,81,52.56,5,4.64,261,108,failed
Company 595,technology,316,20767.18,66.08,5,37,27.02,30,0.88,290,26,partial
Company 596,retail,40,17460.85,50.96,2,79,48.9,22,0.54,30,10,failed
Company 597,healthcare,451,54735.56,93.0,5,65,82.23,40,0.1,418,33,partial
Company 598,manufacturing,22,208761.81,66.69,7,72,78.08,4,6.11,18,4,partial
Company 599,services,478,51564.75,75.45,6,66,23.86,22,0.7,389,89,partial
Company 600,manufacturing,370,170348.16,61.62,5,18,67.24,9,12.67,322,48,partial
Company 601,manufacturing,494,79343.72,57.32,2,47,82.83,4,1.13,399,95,partial
Company 602,healthcare,475,87290.8,52.18,4,47,79.68,24,4.16,403,72,partial
Company 603,services,170,20566.6,94.71,7,58,46.18,37,0.13,159,11,partial
Company 604,healthcare,383,126755.88,87.97,4,71,14.09,10,3.87,314,69,partial
Company 605,services,121,45800.69,48.0,6,11,89.15,42,0.6,101,20,partial
Company 606,healthcare,246,119428.6,84.8,6,61,43.65,27,0.18,215,31,partial
Company 607,services,135,31215.31,65.11,3,75,40.68,25,0.32,111,24,partial
Company 608,technology,253,68984.66,40.92,2,11,74.56,46,3.72,209,44,partial
Company 609,healthcare,438,79348.3,71.7,2,37,32.44,18,0.35,359,79,partial
Company 610,retail,229,52932.53,47.8,3,80,80.95,12,1.22,194,35,partial
Company 611,manufacturing,64,82754.71,52.6,3,3,16.46,39,4.69,53,11,partial
Company 612,healthcare,175,48381.96,81.76,5,15,72.96,8,1.73,156,19,partial
Company 613,services,397,35623.19,55.43,5,72,92.09,43,0.1,331,66,failed
Company 614,services,270,216292.45,93.51,4,16,94.64,41,0.66,263,7,successful
Company 615,retail,288,138574.35,79.43,6,63,88.52,48,0.88,254,34,partial
Company 616,healthcare,226,32575.25,89.94,6,81,84.01,24,1.97,208,18,partial
Company 617,healthcare,160,94348.95,76.91,6,45,33.7,32,10.01,143,17,partial
Company 618,retail,307,33052.65,92.13,7,44,92.17,44,2.01,291,16,partial
Company 619,technology,323,23208.0,61.7,4,39,88.87,9,2.57,275,48,partial
Company 620,technology,451,136905.69,72.95,6,34,55.42,17,1.87,402,49,partial
Company 621,healthcare,316,15317.03,70.95,4,34,44.18,25,0.53,272,44,partial
Company 622,manufacturing,497,125678.8,94.23,3,50,19.29,32,1.79,434,63,partial
Company 623,services,416,48914.16,49.89,2,80,60.2,34,21.56,332,84,failed
Company 624,manufacturing,57,50552.25,74.68,2,88,69.55,46,2.73,51,6,partial
Company 625,services,208,83100.08,85.27,7,78,44.34,25,5.11,180,28,partial
Company 626,retail,204,95316.58,62.2,3,11,44.51,11,2.3,175,29,partial
Company 627,healthcare,21,30912.8,92.05,7,28,58.73,11,11.39,20,1,partial
Company 628,technology,106,106317.0,62.38,6,68,12.36,40,0.59,88,18,partial
Company 629,manufacturing,385,65558.39,50.4,4,49,91.42,24,1.42,342,43,failed
Company 630,services,189,21920.03,75.04,7,30,34.64,32,2.12,164,25,partial
Company 631,services,90,52265.95,65.23,7,28,21.98,29,0.83,72,18,partial
Company 632,services,157,180777.67,40.91,7,11,10.47,41,1.49,128,29,successful
Company 633,technology,151,228953.87,44.19,4,30,82.84,13,5.32,128,23,partial
Company 634,retail,103,106284.93,51.72,3,38,83.37,11,4.5,87,16,partial
Company 635,technology,68,23103.17,86.16,2,38,18.1,37,2.04,58,10,partial
Company 636,technology,386,88653.03,93.52,7,49,22.94,23,0.6,329,57,partial
Company 637,healthcare,415,118265.66,72.74,7,25,48.07,41,0.35,378,37,partial
Company 638,healthcare,258,106998.1,46.33,5,19,25.78,9,3.37,212,46,partial
Company 639,healthcare,315,112191.6,72.07,2,79,72.54,15,0.54,276,39,partial
Company 640,services,461,80066.31,91.34,6,37,14.93,48,5.39,400,61,partial
Company 641,healthcare,424,56504.19,84.97,3,23,56.73,42,4.26,376,48,partial
Company 642,services,35,36801.95,57.47,5,57,42.54,5,6.23,26,9,failed
Company 643,technology,477,13116.83,47.43,5,49,49.52,41,2.65,368,109,failed
Company 644,technology,52,78567.5,94.04,2,52,46.1,6,1.22,46,6,partial
Company 645,manufacturing,32,69483.34,91.25,2,20,23.02,8,1.6,28,4,partial
Company 646,services,213,93532.17,43.22,2,65,28.72,45,1.59,167,46,failed
Company 647,technology,378,20536.62,89.42,7,18,15.51,8,8.98,338,40,partial
Company 648,manufacturing,58,100309.27,45.83,7,75,19.8,17,2.31,44,14,failed
Company 649,healthcare,160,309785.71,43.8,4,38,93.12,9,0.24,144,16,partial
Company 650,technology,146,63752.27,85.52,4,37,33.78,31,1.9,125,21,partial
Company 651,retail,210,56992.09,72.18,4,35,36.1,5,0.4,180,30,partial
Company 652,services,493,76665.1,64.87,4,38,20.8,16,0.1,408,85,partial
Company 653,healthcare,179,304330.52,94.23,5,60,74.19,18,2.99,171,8,successful
Company 654,technology,120,26399.01,90.36,4,45,88.55,33,1.32,113,7,partial
Company 655,services,78,70443.45,43.46,5,12,77.13,26,0.54,67,11,partial
Company 656,retail,115,31579.83,76.97,4,51,62.07,12,8.42,95,20,failed
Company 657,services,83,38653.64,86.34,5,24,79.12,24,6.42,75,8,partial
Company 658,retail,295,57545.3,73.03,7,10,44.36,24,0.97,270,25,partial
Company 659,manufacturing,221,175933.01,98.98,3,75,83.06,19,2.06,193,28,partial
Company 660,retail,259,252910.89,81.16,2,28,77.87,28,3.92,248,11,successful
Company 661,retail,419,85691.91,46.25,5,53,10.15,18,0.64,330,89,failed
Company 662,services,298,44299.3,51.9,2,16,51.46,18,0.83,245,53,failed
Company 663,technology,94,439850.9,89.57,3,31,32.49,39,3.84,81,13,partial
Company 664,technology,200,42529.64,99.81,6,35,17.33,14,7.7,189,11,partial
Company 665,retail,170,37914.59,45.9,4,12,81.93,18,3.47,154,16,partial
Company 666,healthcare,416,14473.08,46.02,5,87,10.68,9,16.67,302,114,failed
Company 667,services,167,182932.64,85.8,6,28,72.06,35,0.84,155,12,partial
Company 668,services,86,129909.91,43.86,2,52,94.0,36,8.42,71,15,partial
Company 669,retail,373,414258.08,44.11,4,51,50.97,34,5.47,301,72,partial
Company 670,retail,225,19700.15,93.33,2,39,41.56,10,0.86,199,26,partial
Company 671,technology,66,192247.07,88.03,4,53,61.5,24,1.55,60,6,failed
Company 672,manufacturing,351,63329.62,92.89,3,51,78.4,16,4.02,345,6,successful
Company 673,services,121,114105.66,79.03,7,8,30.42,38,9.93,105,16,partial
Company 674,healthcare,436,16022.97,59.35,3,60,31.31,18,0.85,342,94,failed
Company 675,manufacturing,419,193777.42,94.38,3,11,61.61,22,8.82,373,46,partial
Company 676,retail,197,112331.93,57.92,2,39,89.89,24,1.45,174,23,partial
Company 677,services,286,58039.09,56.53,2,33,35.37,38,2.57,230,56,partial
Company 678,manufacturing,292,100316.97,93.18,3,40,42.02,36,1.51,266,26,failed
Company 679,technology,333,32454.8,80.85,3,7,94.43,41,1.39,300,33,failed
Company 680,retail,53,37663.55,93.74,6,63,24.98,23,0.85,48,5,partial
